msgid,msgstr
n Edge for slide on lid (right),n Край для скользящей крышки (правый)
Edge for slide on lid (left),Край для скользящей крышки (левый)
m Edge for slide on lid (left),m Край для скользящей крышки (левый)
Edge for slide on lid (box right),Край для скользящей крышки (правая стенка коробки)
N Edge for slide on lid (box right),N Край для скользящей крышки (правая стенка коробки)
Edge for slide on lid (box left),Край для скользящей крышки (левая стенка коробки)
M Edge for slide on lid (box left),M Край для скользящей крышки (левая стенка коробки)
Click on (bottom side),Защёлка (нижняя сторона)
c Click on (bottom side),c Защёлка (нижняя сторона)
Click on (top),Защёлка (верх)
C Click on (top),C Защёлка (верх)
Dove Tail Joint,Соединение ласточкин хвост
d Dove Tail Joint,d Соединение ласточкин хвост
Dove Tail Joint (opposing side),Соединение ласточкин хвост (противоположная сторона)
D Dove Tail Joint (opposing side),D Соединение ласточкин хвост (противоположная сторона)
Flex cut,Гибкий разрез
X Flex cut,X Гибкий разрез
Rack (and pinion) Edge,Край с зубчатой рейкой
R Rack (and pinion) Edge,R Край с зубчатой рейкой
Triangle for handle,Треугольник для ручки
t Triangle for handle,t Треугольник для ручки
T Triangle for handle,T Треугольник для ручки
Handle for e.g. a drawer,Ручка, например, для ящика
y Handle for e.g. a drawer,y Ручка, например, для ящика
Handle with holes for parallel finger joint,Ручка с отверстиями для параллельного пальцевого соединения
Y Handle with holes for parallel finger joint,Y Ручка с отверстиями для параллельного пальцевого соединения
Straight edge with hinge eye (other end),Прямой край с петельным ушком (другой конец)
j Straight edge with hinge eye (other end),j Прямой край с петельным ушком (другой конец)
Edge with hinge pin (other end),Край с петельным штифтом (другой конец)
J Edge with hinge pin (other end),J Край с петельным штифтом (другой конец)
Straight edge with hinge eye (both ends),Прямой край с петельным ушком (оба конца)
k Straight edge with hinge eye (both ends),k Прямой край с петельным ушком (оба конца)
Edge with hinge pin (both ends),Край с петельным штифтом (оба конца)
K Edge with hinge pin (both ends),K Край с петельным штифтом (оба конца)
Edge with chest hinge (other end),Край с сундуковой петлёй (другой конец)
O Edge with chest hinge (other end),O Край с сундуковой петлёй (другой конец)
P Edge with chest hinge (other end),P Край с сундуковой петлёй (другой конец)
Edge with cabinet hinges top side,Край с мебельными петлями на верхней стороне
U Edge with cabinet hinges top side,U Край с мебельными петлями на верхней стороне
Edge with cabinet hinges for 90° lid,Край с мебельными петлями для крышки под 90°
v Edge with cabinet hinges for 90° lid,v Край с мебельными петлями для крышки под 90°
Edge with cabinet hinges 90° lid,Край с мебельными петлями для крышки под 90°
V Edge with cabinet hinges 90° lid,V Край с мебельными петлями для крышки под 90°
Box,Коробка
Boxes,Коробки
FlexBox,Гибкая коробка
Boxes with flex,Коробки с гибкими элементами
Tray,Лоток
Trays and Drawer Inserts,Лотки и вставки для ящиков
Shelf,Полка
Shelves,Полки
WallMounted,Настенный
Holes,Отверстия
Hole patterns,Шаблоны отверстий
Part,Деталь
Parts and Samples,Детали и образцы
Misc,Разное
Unstable,Нестабильный
Generators are still untested or need manual adjustment to be useful.,Генераторы всё ещё не протестированы или требуют ручной настройки для использования.
DefaultParams Settings,Настройки по умолчанию
x,Внутренняя ширина в мм (если не выбрано внешнее измерение)
y,Внутренняя глубина в мм (если не выбрано внешнее измерение)
h,Внутренняя высота в мм (если не выбрано внешнее измерение)
hi,Внутренняя высота внутренних стенок в мм (если не выбрано внешнее измерение) (оставьте ноль для той же высоты, что у внешних стенок)
sx,Секции слева направо в мм
sy,Секции спереди назад в мм
sh,Секции снизу вверх в мм
bottom_edge,Тип края для нижнего края
F,Пальцевое соединение
s,Штабелируемый (низ, отверстия для пальцевого соединения)
e,Прямой край
top_edge,Тип края для верхнего края
f,Пальцевое соединение
c,Защёлка (нижняя сторона)
E,Прямой край (смещённый на толщину)
S,Штабелируемый (верх)
Š,Штабелируемый край с отверстиями для пальцев (верх)
i,Прямой край с петельным ушком
k,Прямой край с петельным ушком (оба конца)
v,Край с мебельными петлями для крышки под 90°
L,Край для скользящей крышки (задняя стенка коробки)
t,Треугольник для ручки
G,Край с грушевидными монтажными отверстиями
Y,Ручка с отверстиями для параллельного пальцевого соединения
outside,Рассматривать размеры как внешние измерения
nema_mount,Размер NEMA для мотора
Default Settings,Настройки по умолчанию
thickness,Толщина материала (в мм)
format,Формат выходного файла
dxf,Формат DXF
gcode,Формат G-кода
lbrn2,Формат LBRN2
pdf,Формат PDF
plt,Формат PLT
ps,Формат PS
svg,Формат SVG
svg_Ponoko,SVG для Ponoko
tabs,Ширина вкладок, удерживающих детали на месте (в мм) (не поддерживается везде)
qr_code,Добавить QR-код с ссылкой или командной строкой в выходной файл
debug,Печатать окружающие рамки для некоторых структур
labels,Маркировать детали (где доступно)
reference,Печатать эталонный прямоугольник с заданной длиной (в мм) (ноль для отключения)
inner_corners,Стиль внутренних углов
loop,Петля
corner,Угол
backarc,Обратная дуга
burn,Коррекция выгорания (в мм) (большие значения для более плотной посадки)
Settings for Finger Joints,Настройки для пальцевых соединений
style,Стиль пальцев
rectangular,Прямоугольный
springs,Пружины
barbs,Заусенцы
snap,Защёлка
surroundingspaces,Пространство в начале и конце в кратности нормальных промежутков
bottom_lip,Высота нижних выступов (в кратности толщины), только для FingerHoleEdge!
edge_width,Пространство под отверстиями FingerHoleEdge (в кратности толщины)
extra_length,Дополнительный материал для удаления следов выгорания (в кратности толщины)
finger,Ширина пальцев (в кратности толщины)
play,Дополнительное пространство для движения пальцев (в кратности толщины)
space,Пространство между пальцами (в кратности толщины)
width,Ширина отверстий для пальцев (в кратности толщины)
Settings for Stackable Edges,Настройки для штабелируемых краёв
angle,Внутренний угол ножек
bottom_stabilizers,Высота полосок, приклеиваемых к внутренней стороне нижних краёв (в кратности толщины)
height,Высота ножек (в кратности толщины)
holedistance,Расстояние от отверстий для пальцев до нижнего края (в кратности толщины)
width,Ширина ножек (в кратности толщины)
Settings for Hinges and HingePins,Настройки для петель и штифтов
grip_percentage,Процент захвата
outset,Выступ (аналогично OutSetEdge)
pinwidth,Установить меньшее значение для получения дисков вокруг штифтов
axle,Диаметр отверстия для штифта (в кратности толщины)
grip_length,Фиксированная длина захватов на крышках (в кратности толщины)
hingestrength,Толщина дуги, удерживающей штифт (в кратности толщины)
Settings for Slide-on Lids,Настройки для скользящих крышек
hole_width,Ширина "пальцевого отверстия" в мм
second_pin,Дополнительный штифт для лучшего позиционирования
spring,Положение дополнительных фиксирующих пружин в крышке
both,Оба
none,Нет
left,Левый
right,Правый
Settings for Click-on Lids,Настройки для защёлкивающихся крышек
angle of the hooks bending outward,Угол изгиба крючков наружу
bottom_radius,Радиус у основания (в кратности толщины)
depth,Длина крючков (в кратности толщины)
Settings for Flex,Настройки для гибких элементов
stretch,Указание, насколько нужно укоротить гибкую часть
connection,Ширина зазоров в разрезах (в кратности толщины)
distance,Ширина узора перпендикулярно разрезам (в кратности толщины)
width,Ширина узора в направлении разрезов (в кратности толщины)
Settings for the Lid,Настройки для крышки
handle,Тип ручки
long_rounded,Длинная закруглённая
long_trapezoid,Длинная трапециевидная
long_doublerounded,Длинная с двойным закруглением
knob,Набалдашник
type of lid to create,Тип создаваемой крышки
flat,Плоская
chest,Сундуковая
overthetop,Сверхверхняя
ontop,На верх
handle_height,Высота ручки (если применимо)
height of the brim (if any),Высота бортика (если есть)
play when sliding the lid on (if applicable),Зазор при надевании скользящей крышки (если применимо)
ABox,Простая коробка
ABox Settings,Настройки ABox
AgricolaInsert,Вставка для коробки игры Agricola Revised Edition
AgricolaInsert Settings,Настройки AgricolaInsert
AirPurifier,Корпус для очистителя воздуха Nukit Open Air
AirPurifier Settings,Настройки AirPurifier
inner width in mm,Внутренняя ширина в мм
inner depth in mm,Внутренняя глубина в мм
filter_height,Высота фильтра по направлению потока (в мм)
rim,Ободок вокруг фильтра, удерживающий его на месте (в мм)
fan_diameter,Диаметр вентиляторов (в мм)
filters,Фильтры с обеих сторон или только с одной
split_frames,Разделить рамки на четыре тонких прямоугольника для экономии материала
fans_left,Количество вентиляторов с левой стороны (-1 для максимального количества)
fans_right,Количество вентиляторов с правой стороны (-1 для максимального количества)
fans_top,Количество вентиляторов сверху (-1 для максимального количества)
fans_bottom,Количество вентиляторов снизу (-1 для максимального количества)
screw_holes,Диаметр отверстий для крепления вентиляторов (в мм)
Settings for Dove Tail Joints,Настройки для соединений ласточкин хвост
how much should fingers widen (-80 to 80),Насколько должны расширяться пальцы (-80 до 80)
how far the dove tails stick out of/into the edge (multiples of thickness),Насколько выступают/углубляются ласточкины хвосты в край (в кратности толщины)
radius,Радиус, используемый на всех четырёх углах (в кратности толщины)
size,Расстояние от середины одного ласточкиного хвоста до другого (в кратности толщины)
AllEdges,Показ всех типов краёв
AllEdges Settings,Настройки AllEdges
Settings for HandleEdge,Настройки для края с ручкой
height above the wall in mm,Высота над стенкой в мм
hole_height,Высота отверстия(й) в процентах от максимальной высоты отверстия (высота ручки - 2 * толщина материала)
width of hole(s) in percentage of maximum hole width (width of edge - (n+1) * material thickness),Ширина отверстия(й) в процентах от максимальной ширины отверстия (ширина края - (n+1) * толщина материала)
on_sides,Добавляется к боковым панелям, если отмечено, иначе к передней и задней сторонам (используется только с параметром top_edge)
radius of corners in mm,Радиус углов в мм
extend the handle along the length of the edge (multiples of thickness),Удлинить ручку вдоль края (в кратности толщины)
AngledBox,Коробка с угловыми концами
AngledBox Settings,Настройки AngledBox
n,Количество стенок с одной стороны (1+)
top,Стиль верха и крышки
angled hole,Угловое отверстие
angled lid,Угловая крышка
angled lid2,Угловая крышка 2
AngledCutJig,Приспособление для угловых резов в лазерном резаке
AngledCutJig Settings,Настройки AngledCutJig
Angle of the cut,Угол реза
Arcade,Настольная аркадная машина
Arcade Settings,Настройки Arcade
inner width of the console,Внутренняя ширина консоли
monitor_height,Высота монитора
keyboard_depth,Глубина клавиатуры
Atreus21,Генератор для разделённой клавиатуры Atreus
Atreus21 Settings,Настройки Atreus21
hotswap_enable,Увеличить отверстия под переключатели для горячей замены
pcb_mount_enable,Добавить отверстия для переключателей с креплением на печатную плату
led_enable,Добавить отверстия под светодиоды под переключателями
diode_enable,Добавить отверстия под диоды под переключателями
cutout_type,Форма выреза пластины: 'castle' позволяет модифицировать, 'simple' - более плотный и простой квадрат
columns_definition,Каждая колонка разделяется '/', в формате 'кол-во_рядов @ смещение x количество_повторов'. Кол-во_рядов - количество рядов в колонке. Смещение в мм (необязательно). Количество_повторов (необязательно) повторяет колонку несколько раз. Пробелы не важны. Например, '3x2 / 4@11' означает 3 колонки, первые две с 3 рядами без смещения, последняя с 4 рядами, начиная с 11 мм.
BasedBox,Полностью закрытая коробка на основании
BasedBox Settings,Настройки BasedBox
BayonetBox,Круглая коробка из слоёв с поворотной крышкой
BayonetBox Settings,Настройки BayonetBox
diameter,Диаметр коробки в мм
lugs,Количество фиксирующих выступов
alignment_pins,Диаметр выравнивающих штифтов
BinTray,Вариант лотка для вертикального использования с наклонными стенками спереди
BinTray Settings,Настройки BinTray
hole_dD,Диаметр монтажных отверстий (вал:головка) в мм
front,Доля высоты лотка, покрытая наклоном
BirdHouse,Простой скворечник
BirdHouse Settings,Настройки BirdHouse
inner height in mm,Внутренняя высота в мм
roof_overhang,Свешивание крыши как доля длины крыши
BookHolder,Наклонная подставка для книг, папок, листовок, открыток или визиток
BookHolder Settings,Настройки BookHolder
book_width,Общая ширина подставки для книг
book_height,Высота передней панели
book_depth,Большие размеры для книг с большим количеством страниц
ledge_height,Часть спереди для удержания книги открытой (0 для отключения)
degrees between floor and front plate,Угол между полом и передней панелью
bottom_support,Дополнительный материал снизу для поднятия книги
back_support,Высота дополнительной опоры сзади (0 для отключения)
radius at the sharp corners (negative for radius=thickness),Радиус острых углов (отрицательное значение для радиуса = толщина)
BottleStack,Штабелирование бутылок в холодильнике
BottleStack Settings,Настройки BottleStack
diameter of the bottles in mm,Диаметр бутылок в мм
number,Количество бутылок в нижнем ряду
depth of the stand along the base of the bottles,Глубина подставки вдоль основания бутылок
double,Две части, которые можно соединить для удвоения ширины
BottleTag,Бумажный ярлык для бутылок
BottleTag Settings,Настройки BottleTag
width of neck tag,Ширина ярлыка для горлышка
height of neck tag,Высота ярлыка для горлышка
min_diameter,Внутренний диаметр отверстия для горлышка бутылки
max_diameter,Внешний диаметр отверстия для горлышка бутылки
corner radius of bottom tag,Радиус углов нижнего ярлыка
segment_width,Внутренняя ширина сегмента
BreadBox,Хлебница с раздвижной дверцей
BreadBox Settings,Настройки BreadBox
radius of the corners,Радиус углов
BrickSorter,Штабелируемое сортировочное сито для кирпичей
BrickSorter Settings,Настройки BrickSorter
outer width of the most outer layer,Внешняя ширина самого внешнего слоя
level,Уровень штабелируемого сита
large_sieve,Большое сито
medium_sieve,Среднее сито
small_sieve,Маленькое сито
tiny_sieve,Крошечное сито
bottom,Радиус углов узора сита в мм. Введите 30 для круглых отверстий.
wiggle,Зазор, чтобы слои могли скользить друг в друга
BurnTest,Тест разных значений выгорания
BurnTest Settings,Настройки BurnTest
step,Шаг увеличения значения выгорания между сторонами
pairs,Количество пар (каждая тестирует четыре значения выгорания)
date,Добавить дату гравировки на каждую деталь
id,Добавить идентификатор гравировки на каждую деталь
CanStorage,Ящик для хранения круглых контейнеров
CanStorage Settings,Настройки CanStorage
canDiameter,Внешний диаметр банок для хранения (в мм)
canHeight,Высота банок для хранения (в мм)
canNum,Количество банок для хранения
chuteAngle,Угол наклона желобов
Settings for Hole filling,Настройки для заполнения отверстий
bar_length,Максимальная длина полос
fill_pattern,Стиль узора отверстий
no fill,Без заполнения
hex,Шестиугольник
square,Квадрат
random,Случайный
hbar,Горизонтальная полоса
vbar,Вертикальная полоса
hole_max_radius,Максимальный радиус отверстий (в мм)
hole_min_radius,Минимальный радиус отверстий (в мм)
hole_style,Стиль отверстий (не применяется к узорам 'vbar' и 'hbar')
round,Круглый
triangle,Треугольник
hexagon,Шестиугольник
octagon,Восьмиугольник
max_random,Максимальное количество случайных отверстий
space_between_holes,Расстояние между отверстиями (в мм)
space_to_border,Расстояние от отверстий до края (в мм)
CarbonFilter,Компактный фильтр для гранул активированного угля
CarbonFilter Settings,Настройки CarbonFilter
pockets,Количество V-образных фильтрующих карманов
ribs,Количество рёбер для удержания дна и сетки
CardBox,Коробка для хранения игральных карт с различными опциями
CardBox Settings,Настройки CardBox
openingdirection,Направление открывания крышки. Рекомендуется, чтобы длина крышки была больше ширины.
fingerhole,Глубина выреза для захвата карт
regular,Обычный
deep,Глубокий
custom,Пользовательский
fingerhole_depth,Глубина выреза, если выбрано 'custom'. Иначе отключено.
add_lidtopper,Добавить дополнительную накладку на крышку для внешнего вида и настройки
CardHolder,Полка для хранения стопок игральных карт или заметок
CardHolder Settings,Настройки CardHolder
backward angle of floor,Угол наклона пола назад
stackable,Сделать держатели штабелируемыми
Settings for Grooved Edge,Настройки для края с пазами
arc_angle,Угол дуговых разрезов
gap,Зазор между пазами (доля длины края)
interleave,Чередовать направление пазов
inverse,Инвертировать направление пазов
margin,Минимальное пространство слева и справа без пазов (доля длины края)
the style of grooves,Стиль пазов
arc,Дуга
softarc,Мягкая дуга
tri_angle,Угол треугольника
the angle of triangular cuts,Угол треугольных разрезов
the width of each groove (fraction of the edge length),Ширина каждого паза (доля длины края)
Castle,Башня замка с двумя стенами
Castle Settings,Настройки Castle
ClosedBox,Полностью закрытая коробка
ClosedBox Settings,Настройки ClosedBox
CoffeeCapsuleHolder,Держатель для кофейных капсул
CoffeeCapsuleHolder Settings,Настройки CoffeeCapsuleHolder
columns,Количество столбцов капсул
rows,Количество капсул в столбце
backplate,Генерировать заднюю панель, если отмечено
CoinBankSafe,Копилка в виде сейфа
CoinBankSafe Settings,Настройки CoinBankSafe
slotlength,Длина щели для монет в мм
slotwidth,Ширина щели для монет в мм
handlelength,Длина ручки в кратности толщины
handleclearance,Зазор ручки в кратности толщины
CoinDisplay,Витрина для одной монеты
CoinDisplay Settings,Настройки CoinDisplay
coin_d,Диаметр монеты в мм
coin_plate,Размер пластины для монеты
coin_showcase_h,Высота витрины для монеты
The angle that the coin will tilt as,Угол наклона монеты
TypeTray,Лоток с непрерывными стенками
TypeTray Settings,Настройки TypeTray
back_height,Дополнительная высота задней стенки - только для верхнего края e
radius for strengthening side walls with back_height,Радиус для укрепления боковых стенок с дополнительной высотой
gripheight,Высота отверстия для захвата в мм
gripwidth,Ширина отверстия для захвата в мм (ноль для отсутствия отверстия)
add handle to the bottom (changes bottom edge in the front),Добавить ручку к нижней части (меняет нижний край спереди)
fingerholes,Решить, какие внешние стенки также должны иметь отверстия для пальцев
inside-only,Только внутри
back,Задняя
front-and-back,Передняя и задняя
Settings for Cabinet Hinges,Настройки для мебельных петель
bore,Диаметр отверстия для штифта в мм
eyes_per_hinge,Количество ушек на петлю
hinges,Количество петель на край
style of hinge used,Стиль используемой петли
inside,Внутренняя
eye,Ушко
radius of the eye (multiples of thickness),Радиус ушка (в кратности толщины)
space between eyes (multiples of thickness),Пространство между ушками (в кратности толщины)
spacing,Минимальное пространство вокруг петли (в кратности толщины)
Settings for RoundedTriangleEdge,Настройки для края с закруглённым треугольником
height above the wall,Высота над стенкой
r_hole,Радиус отверстия
radius of top corner,Радиус верхнего угла
extend the triangle along the length of the edge (multiples of thickness),Удлинить треугольник вдоль края (в кратности толщины)
Settings for Mounting Edge,Настройки для монтажного края
d_head,Диаметр головки монтажного винта (в мм)
d_shaft,Диаметр вала монтажного винта (в мм)
minimum space left and right without holes (fraction of the edge length),Минимальное пространство слева и справа без отверстий (доля длины края)
num,Количество монтажных отверстий (целое число)
side,Сторона коробки (не все конфигурации имеют смысл...)
edge style,Стиль края
"straight edge, within","Прямой край, внутри"
"straight edge, extended","Прямой край, расширенный"
mounting tab,Монтажная вкладка
Compartment Labels,Этикетки для отсеков
text_size,Размер текста для содержимого лотка в мм
text_alignment,Выравнивание текста
center,По центру
text_distance_x,Расстояние по X от края лотка в мм. Не влияет при центрировании текста.
text_distance_y,Расстояние по Y от края лотка в мм
text_at_front,Начинать маркировку отсеков спереди
label_file,Файл с этикетками отсеков. Одна строка на отсек
Settings for FingerHoleEdge,Настройки для края с пальцевыми отверстиями
absolute_depth,Глубина отверстия в мм (в дополнение к относительной)
absolute_width,Ширина отверстия в мм (в дополнение к относительной)
maximal radius (in mm),Максимальный радиус (в мм)
relative_depth,Глубина отверстия как доля высоты стенки
relative_width,Ширина отверстия как доля ширины стенки
CompartmentBox,Вариант лотка с раздвижной крышкой
CompartmentBox Settings,Настройки CompartmentBox
how to grab the lid to remove,Как захватить крышку для снятия
lip,Выступ
hole,Отверстие
radius of the grip hole in mm,Радиус отверстия для захвата в мм
holes,Ширина отверстий в процентах от максимальной ширины отверстия
margin_t,Вертикальный зазор для скользящей крышки (в кратности толщины)
margin_s,Зазор по бокам скользящей крышки (в кратности толщины)
split_lip,Создать две полоски для уменьшения отходов материала
ConcaveKnob,Круглая ручка с зазубренной внешней стороной для лучшего захвата
ConcaveKnob Settings,Настройки ConcaveKnob
Diameter of the knob (mm),Диаметр ручки (в мм)
serrations,Количество зазубрин
rounded,Доля окружности, используемая для некруглых частей
Angle between convex and concave parts,Угол между выпуклыми и вогнутыми частями
bolthole,Диаметр отверстия для болта (в мм)
dhole,D-образное отверстие в доле диаметра
hexhead,Ширина шестигранной головки болта (в мм)
Console,Консоль с наклонной панелью
Console Settings,Настройки Console
front_height,Высота передней части под панелью (в мм)
angle of the front panel (90°=upright),Угол наклона передней панели (90° = вертикально)
Console2,Консоль с наклонной панелью и сервисными люками
Console2 Settings,Настройки Console2
removable_backwall,Съёмная задняя стенка с защёлками
removable_panel,Панель удерживается вкладками и может быть снята
glued_panel,Панель приклеена, а не удерживается пальцевыми соединениями
Desksign,Простая наклонная пластина с подставками для отображения имени или сообщения
Desksign Settings,Настройки Desksign
plate width in mm (excluding holes),Ширина пластины в мм (без отверстий)
plate height in mm,Высота пластины в мм
plate angle in degrees (90 is vertical),Угол наклона пластины в градусах (90 - вертикально)
label,Необязательный текст для гравировки (оставьте пустым для отключения)
fontsize,Размер шрифта
feet,Добавить приподнятые ножки
mirror,Зеркальное отражение одной из подставок, чтобы одна сторона материала была снаружи
verticaltextoffset,Вертикальное смещение текста в мм от стандартного центрального положения
DiceBox,Коробка с крышкой и встроенной петлёй для хранения кубиков
DiceBox Settings,Настройки DiceBox
lidheight,Высота крышки в мм
hex_hole_corner_radius,Радиус углов шестигранных отверстий для кубиков в мм
magnet_diameter,Диаметр магнитов для удержания коробки закрытой в мм
Settings for Chest Hinges,Настройки для сундуковых петель
finger_joints_on_box,Включать ли пальцевые соединения на краю коробки
finger_joints_on_lid,Включать ли пальцевые соединения на краю крышки
hinge_strength,Толщина петли
pin_height,Радиус диска, вращающегося в петле (в кратности толщины)
DiceTower,Инструмент для честного бросания кубиков
DiceTower Settings,Настройки DiceTower
width of the tower (side where the dice fall out),Ширина башни (сторона, где выпадают кубики)
depth of the tower,Глубина башни
height of the tower,Высота башни
include bottom piece,Включить нижнюю деталь
ramps,Количество пандусов в башне
angle of the ramps in the tower,Угол наклона пандусов в башне
DinRailBox,Коробка для DIN-рейки, используемой в электрических распределительных коробках
DinRailBox Settings,Настройки DinRailBox
rail_width,Ширина рейки (обычно 35 или 15 мм)
rail_offset,Смещение рейки от середины коробки (в мм)
DiscRack,Стойка для вертикального хранения дисковых объектов
DiscRack Settings,Настройки DiscRack
disc_diameter,Диаметр диска в мм
disc_thickness,Толщина дисков в мм
lower_factor,Положение нижних решёток по радиусу
rear_factor,Положение задних решёток по радиусу
disc_outset,Дополнительное пространство между дисками и внешней стороной стойки
Backwards slant of the rack,Наклон стойки назад
Dispenser,Диспенсер для штабелируемых плоских предметов одинакового размера
Dispenser Settings,Настройки Dispenser
slotheight,Высота щели диспенсера / предметов (в мм)
viewingwidth,Ширина смотровой щели как часть общей ширины (0 для закрытого фронта)
bottomheight,Высота под диспенсером (в мм)
sideedges,Края, используемые для удержания передних панелей и задней части
Display,Дисплей для листовок или буклетов
Display Settings,Настройки Display
radius of the corners in mm,Радиус углов в мм
greater zero for top wider as bottom,Больше нуля, если верх шире низа
DisplayCase,Полностью закрытая коробка для вырезания из прозрачного акрила в качестве витрины
DisplayCase Settings,Настройки DisplayCase
overhang,Свешивание для стыков в мм
DisplayShelf,Полка с наклонными полами
DisplayShelf Settings,Настройки DisplayShelf
number of shelves,Количество полок
front_wall_height,Высота передних стенок
angle of floors (negative values for slanting backwards),Угол наклона полов (отрицательные значения для наклона назад)
include_back,Включить заднюю панель
include_front,Включить переднюю панель (для использования задом наперёд)
include_bottom,Включить горизонтальную панель внизу полки
slope_top,Наклон боковых сторон и верха на высоту передней стенки
divider_wall_height,Высота разделительных стенок
bottom_distance,Высота под нижней полкой
top_distance,Дополнительная высота над верхней полкой
DividerTray,Лоток с разделителями - ряды и перегородки
DividerTray Settings,Настройки DividerTray
notches_in_wall,Генерировать такие же вырезы на стенках, как на разделителях
left_wall,Генерировать левую стенку
right_wall,Генерировать правую стенку
generate wall on the bottom,Генерировать нижнюю стенку
add handle to the bottom,Добавить ручку к нижней части
Settings for Divider Slots,Настройки для слотов разделителей
angle at which slots are generated, in degrees. 0° is vertical.,Угол генерации слотов в градусах. 0° - вертикально.
depth of the slot in mm,Глубина слота в мм
extra_slack,Дополнительный зазор (помимо толщины и выгорания) для упрощения вставки разделителей в мм
radius of the slot entrance in mm,Радиус входа слота в мм
Settings for Notches on the Dividers,Настройки для вырезов на разделителях
lower_radius,Нижний радиус
upper_radius,Верхний радиус
Settings for Dividers,Настройки для разделителей
bottom_margin,Зазор между дном коробки и разделителем в мм
play to avoid them clamping onto the walls (in multiples of thickness),Зазор для предотвращения зажима на стенках (в кратности толщины)
DoubleFlexDoorBox,Коробка с двухсекционной крышкой с живыми петлями и круглыми углами
DoubleFlexDoorBox Settings,Настройки DoubleFlexDoorBox
Radius of the latch in mm,Радиус защёлки в мм
latchsize,Размер защёлки в кратности толщины
DrillBox,Параметризованная коробка для свёрл
DrillBox Settings,Настройки DrillBox
Number of holes for each size,Количество отверстий для каждого размера
firsthole,Самое маленькое отверстие
holeincrement,Шаг между отверстиями
DrillStand,Коробка для свёрл с отсеками разной высоты
DrillStand Settings,Настройки DrillStand
extra_height,Разница высоты слева направо
ElectronicsBox,Закрытая коробка с навинчивающейся крышкой и монтажными отверстиями
ElectronicsBox Settings,Настройки ElectronicsBox
Sides of the triangles holding the lid in mm,Стороны треугольников, удерживающих крышку, в мм
d1,Диаметр внутренних винтовых отверстий крышки в мм
d2,Диаметр винтовых отверстий крышки в мм
d3,Диаметр монтажных винтовых отверстий в мм
outsidemounts,Добавить внешние монтажные точки
holedist,Расстояние винтовых отверстий от стенки в мм
EuroRackSkiff,Корпус высотой 3U с регулируемой шириной и высотой, включая рейки
EuroRackSkiff Settings,Настройки EuroRackSkiff
hp,Ширина корпуса в HP
FanHole,Шаблон отверстий для крепления вентилятора
FanHole Settings,Настройки FanHole
diameter of the fan hole,Диаметр отверстия вентилятора
mounting_holes,Диаметр монтажных отверстий вентилятора
