msgid,msgstr
"\n^_^This insert was designed with 3 mm plywood in mind, and should work fine ^_^with\n^_^materials around this thickness.\n^_^\n^_^This is an insert for the [Agricola Revised Edition](https://^_^boardgamegeek.com/boardgame/200680/agricola-revised-edition)\n^_^board game. It is specifically designed around the [Farmers Of The Moor ^_^expansion](https://boardgamegeek.com/boardgameexpansion/257344/agricola-^_^farmers-moor),\n^_^and should also store the [5-6 players expansion](https://boardgamegeek.com/^_^boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n^_^(not tested, but I tried to take everything into account for it, please ^_^inform\n^_^us if you tested it).\n^_^\n^_^It can be stored inside the original game box, including the 2 expansions,\n^_^with the lid slightly raised.\n^_^\n^_^The parts of a given element are mostly generated next to each other ^_^vertically.\n^_^It should be straightforward to match them.\n^_^\n^_^Here are the different elements, from left to right in the generated file.\n^_^\n^_^#### Card tray\n^_^\n^_^The cards are all kept in a tray, with paper dividers to sort them easily. ^_^When\n^_^the tray is not full of cards, wood dividers slides in slots in order to ^_^keep\n^_^the cards from falling into the empty space.\n^_^\n^_^There should be enough space for the main game, Farmers Of The Moor, and the ^_^5-6\n^_^player expansion, but not much more than that.\n^_^\n^_^To keep a lower profile, the cards are at a slight angle, and the paper ^_^dividers\n^_^tabs are horizontal instead of vertical.\n^_^A small wall keeps the card against one side while the tabs protrude on the\n^_^other side, above the small wall.\n^_^\n^_^The wall with the big hole is the sloped one. It goes between the two\n^_^\""comb-like\"" walls first, with its two small holes at the bottom. Then ^_^there is a\n^_^low-height long wall with a sloped edge which should go from the sloped wall ^_^to\n^_^the other side. You can finish the tray with the last wall at the end.\n^_^\n^_^#### Upper level trays\n^_^\n^_^4 trays with movable walls are used to store resources. They were designed ^_^to\n^_^store them in this order:\n^_^\n^_^* Stone / Vegetable / Pig / Cow\n^_^* Reed / Grain / Sheep\n^_^* Wood / Clay\n^_^* Food / Fire\n^_^\n^_^The wall would probably be better if fixed instead of movable, but I would ^_^like\n^_^to test with the 5-6 player expansion to be sure their positions are ^_^correct\n^_^with it too.\n^_^\n^_^The little feet of the movable wall should be glued. The triangles are put\n^_^horizontally, with their bases towards the sides.\n^_^\n^_^#### Lower level tray\n^_^\n^_^The lower level tray is used to store the horses.\n^_^\n^_^#### Room/Field tiles\n^_^\n^_^Two boxes are generated to store the room/field tiles. One for the wood/^_^field,\n^_^the other for the clay/stone. They are stored with the main opening upside, ^_^but\n^_^I prefer to use them during play with this face on the side.\n^_^\n^_^#### Moor/Forest and miscellaneous tiles\n^_^\n^_^A box is generated to store the Moor/Forest tiles, and some other tiles such ^_^as\n^_^the \""multiple resources\"" cardboard tokens.\n^_^\n^_^The Moor/Forest tiles are at the same height as the Room/Field, and the ^_^upper\n^_^level trays are directly on them. The horse box and player box are slightly\n^_^lower. This Moor/Forest box have a lowered corner (the one for the ^_^miscellaneous\n^_^tiles). Two cardboard pieces can be stored between the smaller boxes and ^_^the\n^_^upper level trays (as seen on the picture).\n^_^\n^_^Be sure to match the pieces so that the walls with smaller heights are next ^_^to\n^_^each other.\n^_^\n^_^#### Players bit boxes\n^_^\n^_^Each player has its own box where the bits of his color are stored.\n^_^The cardboard bed from Farmers Of The Moor is central to this box.\n^_^\n^_^* The fences are stored inside the bed\n^_^* The bed is placed in the box, with holes to keep it there (and to take ^_^less\n^_^  height)\n^_^* The stables are stored in the two corners\n^_^* The five farmers are stored between the bed and the three walls, ^_^alternatively\n^_^  head up and head down.\n^_^\n^_^During assembly, the small bars are put in the middle holes. The two bigger\n^_^holes at the ends are used for the bed feet. The bar keeps the bed from\n^_^protruding underneath.\n^_^\n","\n^_^Этот органайзер был разработан с учетом фанеры толщиной 3 мм и должен хорошо ^_^работать\n^_^с материалами примерно такой толщины.\n^_^\n^_^Это органайзер для настольной игры [Agricola Revised Edition](https://^_^boardgamegeek.com/boardgame/200680/agricola-revised-edition).\n^_^Он специально спроектирован для дополнения [Farmers Of The Moor ^_^expansion](https://boardgamegeek.com/boardgameexpansion/257344/agricola-^_^farmers-moor),\n^_^а также должен вмещать [дополнение на 5-6 игроков](https://boardgamegeek.com/^_^boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n^_^(не проверено, но я постарался учесть все для него, пожалуйста, ^_^сообщите\n^_^нам, если вы это проверили).\n^_^\n^_^Органайзер можно хранить внутри оригинальной коробки игры вместе с двумя ^_^дополнениями,\n^_^при этом крышка будет немного приподнята.\n^_^\n^_^Детали одного элемента в основном располагаются рядом друг с другом ^_^вертикально.\n^_^Их должно быть легко сопоставить.\n^_^\n^_^Вот различные элементы, слева направо в сгенерированном файле.\n^_^\n^_^#### Лоток для карт\n^_^\n^_^Все карты хранятся в лотке с бумажными разделителями для удобной сортировки. ^_^Когда\n^_^лоток не полностью заполнен картами, деревянные разделители вставляются в пазы, чтобы ^_^удерживать\n^_^карты и не давать им падать в пустое пространство.\n^_^\n^_^Должно хватить места для основной игры, Farmers Of The Moor и дополнения на 5-6\n^_^игроков, но не намного больше.\n^_^\n^_^Чтобы сделать лоток ниже, карты размещаются под небольшим углом, а бумажные ^_^разделители\n^_^имеют горизонтальные язычки вместо вертикальных.\n^_^Небольшая стенка удерживает карты с одной стороны, а язычки выступают с\n^_^другой стороны, над маленькой стенкой.\n^_^\n^_^Стенка с большим отверстием — это наклонная стенка. Сначала она устанавливается между двумя\n^_^\""гребенчатыми\"" стенками, с двумя маленькими отверстиями внизу. Затем ^_^идет\n^_^низкая длинная стенка с наклонным краем, которая должна идти от наклонной стенки ^_^к\n^_^другой стороне. Завершить лоток можно последней стенкой в конце.\n^_^\n^_^#### Верхние лотки\n^_^\n^_^4 лотка с подвижными стенками используются для хранения ресурсов. Они были спроектированы ^_^для\n^_^хранения в таком порядке:\n^_^\n^_^* Камень / Овощ / Свинья / Корова\n^_^* Тростник / Зерно / Овца\n^_^* Дерево / Глина\n^_^* Еда / Огонь\n^_^\n^_^Стенка, возможно, была бы лучше, если бы была фиксированной, а не подвижной, но я бы хотел\n^_^проверить с дополнением на 5-6 игроков, чтобы убедиться, что их позиции ^_^корректны\n^_^и для него тоже.\n^_^\n^_^Маленькие ножки подвижной стенки нужно приклеить. Треугольники размещаются\n^_^горизонтально, их основания направлены к бокам.\n^_^\n^_^#### Нижний лоток\n^_^\n^_^Нижний лоток используется для хранения лошадей.\n^_^\n^_^#### Коробки для тайлов комнат/полей\n^_^\n^_^Генерируются две коробки для хранения тайлов комнат/полей. Одна для дерева/^_^поля,\n^_^другая для глины/камня. Они хранятся с основным отверстием вверх, ^_^но\n^_^я предпочитаю использовать их во время игры, когда это отверстие сбоку.\n^_^\n^_^#### Коробка для тайлов болот/лесов и прочих тайлов\n^_^\n^_^Генерируется коробка для хранения тайлов болот/лесов и некоторых других тайлов, таких ^_^как\n^_^картонные жетоны \""несколько ресурсов\"".\n^_^\n^_^Тайлы болот/лесов имеют ту же высоту, что и тайлы комнат/полей, а ^_^верхние\n^_^лотки располагаются прямо на них. Коробка для лошадей и коробка для игроков немного\n^_^ниже. У этой коробки для болот/лесов есть заниженный угол (тот, что для ^_^прочих\n^_^тайлов). Два картонных элемента можно хранить между меньшими коробками и ^_^верхними\n^_^лотками (как показано на фото).\n^_^\n^_^Обязательно сопоставьте детали так, чтобы стенки с меньшей высотой были рядом ^_^друг с\n^_^другом.\n^_^\n^_^#### Коробки для компонентов игроков\n^_^\n^_^У каждого игрока есть своя коробка для хранения компонентов его цвета.\n^_^Картонная кровать из Farmers Of The Moor является центральной частью этой коробки.\n^_^\n^_^* Заборы хранятся внутри кровати\n^_^* Кровать помещается в коробку, с отверстиями для фиксации (и чтобы занимать ^_^меньше\n^_^  высоты)\n^_^* Конюшни хранятся в двух углах\n^_^* Пять фигурок фермеров размещаются между кроватью и тремя стенками, ^_^чередуя\n^_^  вверх головой и вниз головой.\n^_^\n^_^Во время сборки маленькие палочки вставляются в средние отверстия. Два больших\n^_^отверстия по краям используются для ножек кровати. Палочка не дает кровати\n^_^выступать снизу.\n^_^\n"
See [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-^_^Purifier/)\n,См. [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-^_^Purifier/)\n
how far the dove tails stick out of/into the edge (multiples of thickness),насколько далеко ласточкин хвост выступает из/в край (в кратных толщины)
height of hole(s) in percentage of maximum hole height (handle height - 2 * ^_^material thickness),высота отверстия(ий) в процентах от максимальной высоты отверстия (высота ручки - 2 * ^_^толщина материала)
width of hole(s) in percentage of maximum hole width (width of edge - (n+1) ^_^* material thickness),ширина отверстия(ий) в процентах от максимальной ширины отверстия (ширина края - (n+1) ^_^* толщина материала)
added to side panels if checked, to front and back otherwise (only used with ^_^top_edge parameter),"добавляется к боковым панелям, если выбрано, иначе к передней и задней (используется только с ^_^параметром top_edge)"
"Shape of the plate cutout: 'castle' allows for modding, and 'simple' is a ^_^tighter and simpler square","Форма выреза пластины: 'castle' позволяет модифицировать, а 'simple' — более плотная и простая квадратная"
"Each column is separated by '/', and is in the form 'nb_rows @ offset x ^_^repeat_count'. Nb_rows is the number of rows for this column. The offset is ^_^in mm and optional. Repeat_count is optional and repeats this column ^_^multiple times. Spaces are not important.For example '3x2 / 4@11' means we ^_^want 3 columns, the two first with 3 rows without offset, and the last with ^_^4 rows starting at 11mm high.","Каждый столбец разделяется символом '/', и имеет вид 'nb_rows @ offset x ^_^repeat_count'. nb_rows — количество рядов в этом столбце. offset — смещение ^_^в мм, опционально. repeat_count — опционально, повторяет этот столбец ^_^несколько раз. Пробелы не важны. Например, '3x2 / 4@11' означает, ^_^что нужно 3 столбца: первые два с 3 рядами без смещения, последний — с ^_^4 рядами начиная с 11 мм высоты."
"This box is more of a building block than a finished item.\n^_^Use a vector graphics program (like Inkscape) to add holes or adjust the ^_^base\n^_^plate. The width of the \""brim\"" can also be adjusted with the ^_^**edge_width**\n^_^ parameter in the **Finger Joints Settings**.\n^_^\n^_^See ClosedBox for variant without a base.\n","Эта коробка больше как строительный блок, чем готовое изделие.\n^_^Используйте векторный графический редактор (например, Inkscape), чтобы добавить отверстия или скорректировать ^_^основание\n^_^пластину. Ширину \""кромки\"" также можно изменить с помощью параметра ^_^**edge_width**\n^_^ в настройках **Finger Joints Settings**.\n^_^\n^_^См. ClosedBox для варианта без основания\n."
"Glue together - all outside rings to the bottom, all inside rings to the top.","Склейте вместе — все внешние кольца к низу, все внутренние кольца к верху."
mounting hole diameter (shaft:head) in mm [🛈](https://florianfesti.github.io/^_^boxes/html/usermanual.html#mounting-holes),диаметр монтажного отверстия (вал:головка) в мм [🛈](https://florianfesti.github.io/^_^boxes/html/usermanual.html#mounting-holes)
"Angled display stand for books, ring files, flyers, postcards, or business ^_^cards.","Наклонная подставка для книг, папок, буклетов, открыток или визиток."
"\n^_^Smaller versions for postcards (with a small ledge) and for business cards:\n^_^\n^_^![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n^_^\n^_^![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n^_^\n^_^BookHolder with default parameters (A4 size, landscape, back_support):\n^_^\n^_^![BookHolder (back)](static/samples/BookHolder-back.jpg)\n","\n^_^Меньшие версии для открыток (с небольшим выступом) и для визиток:\n^_^\n^_^![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n^_^\n^_^![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n^_^\n^_^BookHolder с параметрами по умолчанию (размер A4, альбомная ориентация, back_support):\n^_^\n^_^![BookHolder (back)](static/samples/BookHolder-back.jpg)\n"
"When rendered with the \""double\"" option the parts with the double slots get ^_^connected the shorter beams in the asymmetrical slots.\n^_^\n^_^Without the \""double\"" option the stand is a bit more narrow.\n","При выборе опции \""double\"" детали с двойными пазами ^_^соединяются с короткими балками в асимметричных пазах.\n^_^\n^_^Без опции \""double\"" подставка получается немного уже.\n"
"## Stackable nestable sorting sieve for bricks\n^_^A stackable sorting sieve for bricks, nestable for storage.\n^_^You will need to export all 5 levels, to get a full sieve.\n^_^If you feel you do not need the upper levels, just do not export them.\n^_^x,y,h are the dimensions for the largest sieve,\n^_^they will be the outer dimensions of the box,\n^_^the smaller sieves will be nested inside, therefore smaller.\n^_^Of course 256mm or 384mm (base plate size) are recommended values for x and ^_^y,\n^_^but you can use any value you like.\n^_^\n^_^Full set of all 5 levels:\n^_^![Full Set](static/samples/BrickSorter-2.jpg)\n^_^\n^_^![Full Set](static/samples/BrickSorter-3.jpg)\n^_^\n^_^Stacked for Usage:\n^_^![Stacked](static/samples/BrickSorter-4.jpg)\n^_^\n^_^Nested for Storage:\n^_^![Full Set](static/samples/BrickSorter-5.jpg)\n^_^\n^_^In Use:\n^_^![Full Set](static/samples/BrickSorter-6.jpg)\n","## Сортировочное сито для кирпичиков, штабелируемое и вкладываемое друг в друга\n^_^Штабелируемое сито для сортировки кирпичиков, вкладываемое для хранения.\n^_^Вам нужно экспортировать все 5 уровней, чтобы получить полное сито.\n^_^Если верхние уровни не нужны, просто не экспортируйте их.\n^_^x, y, h — размеры самого большого сита,\n^_^они будут внешними размерами коробки,\n^_^меньшие сита будут вложены внутрь, соответственно меньше.\n^_^Рекомендуемые значения для x и y — 256 мм или 384 мм (размер базовой пластины),\n^_^но вы можете использовать любые значения.\n^_^\n^_^Полный комплект из всех 5 уровней:\n^_^![Full Set](static/samples/BrickSorter-2.jpg)\n^_^\n^_^![Full Set](static/samples/BrickSorter-3.jpg)\n^_^\n^_^Сложено для использования:\n^_^![Stacked](static/samples/BrickSorter-4.jpg)\n^_^\n^_^Вложено для хранения:\n^_^![Full Set](static/samples/BrickSorter-5.jpg)\n^_^\n^_^В использовании:\n^_^![Full Set](static/samples/BrickSorter-6.jpg)\n"
Radius of the corners of the sieve pattern in mm. Enter 30 for circular ^_^holes.,Радиус углов узора сита в мм. Введите 30 для круглых ^_^отверстий.
This generator will make shapes that you can use to select\n^_^optimal value for burn parameter for other generators. After burning try to\n^_^attach sides with the same value and use best fitting one on real projects.\n^_^In this generator set burn in the Default Settings to the lowest value\n^_^to be tested. To get an idea cut a rectangle with known nominal size and\n^_^measure the shrinkage due to the width of the laser cut. Now you can\n^_^measure the burn value that you should use in other generators. It is half\n^_^the difference of the overall size as shrinkage is occurring on both\n^_^sides. You can use the reference rectangle as it is rendered without burn\n^_^correction.\n^_^\n^_^See also LBeam that can serve as compact BurnTest and FlexTest for testing ^_^flex settings.\n,"Этот генератор создаст формы, которые вы можете использовать для выбора\n^_^оптимального значения параметра прожига для других генераторов. После прожига попробуйте\n^_^соединить стороны с тем же значением и используйте наиболее подходящее на реальных проектах.\n^_^В этом генераторе установите прожиг в настройках по умолчанию на минимальное значение,\n^_^которое будет тестироваться. Чтобы получить представление, вырежьте прямоугольник с известным номинальным размером и\n^_^измерьте усадку из-за ширины лазерного реза. Теперь вы можете\n^_^измерить значение прожига, которое следует использовать в других генераторах. Это половина\n^_^разницы общего размера, так как усадка происходит с обеих\n^_^сторон. Вы можете использовать опорный прямоугольник, так как он отображается без коррекции прожига.\n^_^\n^_^См. также LBeam, который может служить компактным тестом прожига (BurnTest) и гибкости (FlexTest) для проверки ^_^настроек гибкости.\n"
\n^_^for AA batteries:\n^_^\n^_^![CanStorage for AA batteries](static/samples/CanStorageAA.jpg)\n^_^\n^_^for canned tomatoes:\n,\n^_^для батареек AA:\n^_^\n^_^![CanStorage for AA batteries](static/samples/CanStorageAA.jpg)\n^_^\n^_^для консервированных помидоров:\n
The filter does not include the top rim. You need some rectangular wooden ^_^strip about 2-3cm in size to glue around. The x and y are without this rim ^_^and should be about 5 cm smaller that the nominal size.\n^_^\n^_^The following sizes are currently hard coded:\n^_^\n^_^* Height of rails on top: 50mm\n^_^* Borders on top: 40mm\n^_^* Char coal width (horizontal): 40mm\n^_^* Bottom width: 40 + 20 + 40 mm\n^_^\n^_^For assembly it is important that all bottom plates are the same way up. ^_^This allows the ribs of adjacent pockets to pass beside each other.\n^_^\n^_^There are three type of ribs:\n^_^\n^_^* Those with staight tops go in the middle of the bottom plates\n^_^* Those pointier angle go at the outer sides and meet with the side bars\n^_^* The less pointy go at all other sides of the bottom plates that will end ^_^up on the inside\n^_^\n^_^The last two types of ribs do not have finger joints on the outside but ^_^still need to be glued to the top beam of the adjacent pocket or the left or ^_^right side bar.\n,"Фильтр не включает верхний обод. Вам понадобится прямоугольная деревянная рейка размером около 2-3 см, чтобы приклеить по периметру. x и y указаны без этого обода и должны быть примерно на 5 см меньше номинального размера.\n^_^\n^_^Следующие размеры сейчас жестко заданы:\n^_^\n^_^* Высота направляющих сверху: 50 мм\n^_^* Края сверху: 40 мм\n^_^* Ширина угля (горизонтально): 40 мм\n^_^* Ширина дна: 40 + 20 + 40 мм\n^_^\n^_^Для сборки важно, чтобы все нижние пластины были одинаково ориентированы. Это позволяет рёбрам соседних карманов проходить рядом друг с другом.\n^_^\n^_^Есть три типа рёбер:\n^_^\n^_^* С прямыми верхушками — идут в середину нижних пластин\n^_^* С более острым углом — идут по краям и соединяются с боковыми планками\n^_^* Менее острые — на всех остальных сторонах нижних пластин, которые окажутся внутри\n^_^\n^_^У последних двух типов рёбер нет шипов снаружи, но их всё равно нужно приклеить к верхней балке соседнего кармана или к левой/правой боковой планке.\n"
"\n^_^### Description\n^_^Versatile Box for Storage of playing cards. Multiple different styles of ^_^storage are supported, e.g. a flat storage or a trading card deck box style ^_^storage. See images for ideas.\n^_^\n^_^#### Building instructions\n^_^Place inner walls on floor first (if any). Then add the outer walls. Glue ^_^the two walls without finger joins to the inside of the side walls. Make ^_^sure there is no squeeze out on top, as this is going to form the rail for ^_^the lid.\n^_^\n^_^Add the top of the rails to the sides (front open) or to the back and front ^_^(right side open) and the grip rail to the lid.\n^_^Details of the lid and rails\n^_^![Details](static/samples/CardBox-detail.jpg)\n^_^Whole box (early version still missing grip rail on the lid):\n","\n^_^### Описание\n^_^Универсальная коробка для хранения игральных карт. Поддерживается несколько разных стилей ^_^хранения, например, плоское хранение или коробка для колоды коллекционных карт. Смотрите изображения для идей.\n^_^\n^_^#### Инструкция по сборке\n^_^Сначала установите внутренние стенки на дно (если есть). Затем добавьте внешние стенки. Приклейте две стенки без соединений типа 'ласточкин хвост' к внутренней стороне боковых стенок. Убедитесь, что клей не выступает сверху, так как это будет формировать направляющую для крышки.\n^_^\n^_^Добавьте верх направляющих к бокам (открыто спереди) или к задней и передней части (открыто справа), а также ручку к крышке.\n^_^Детали крышки и направляющих\n^_^![Details](static/samples/CardBox-detail.jpg)\n^_^Вся коробка (ранняя версия, еще без ручки на крышке):\n"
Direction in which the lid slides open. Lid length > Lid width recommended.,"Направление, в котором открывается крышка. Рекомендуется, чтобы длина крышки была больше ширины."
minimum space left and right without grooves (fraction of the edge length),минимальное расстояние слева и справа без пазов (доля длины края)
This was done as a table decoration. May be at some point in the future ^_^someone will create a proper castle\n^_^with towers and gates and walls that can be attached in multiple ^_^configurations.,"Это было сделано как украшение для стола. Возможно, в будущем кто-то создаст настоящий замок\n^_^с башнями, воротами и стенами, которые можно соединять в разных конфигурациях."
This box is more of a building block than a finished item.\n^_^Use a vector graphics program (like Inkscape) to add holes or adjust the ^_^base\n^_^plate.\n^_^\n^_^See BasedBox for variant with a base.,"Эта коробка больше похожа на строительный блок, чем на готовое изделие.\n^_^Используйте векторный графический редактор (например, Inkscape), чтобы добавить отверстия или скорректировать ^_^основание\n^_^пластину.\n^_^\n^_^См. BasedBox для варианта с основанием."
\n^_^Coffee capsule holder\n,\n^_^Держатель для кофейных капсул\n
"\n^_^    You can store your coffee capsule near your espresso machine with this. ^_^It works both vertically, or upside down under a shelf.\n",\n^_^    Вы можете хранить свои кофейные капсулы рядом с вашей эспрессо-машиной с помощью этого держателя. ^_^Он работает как в вертикальном положении, так и перевёрнутым под полкой.\n"
"\n^_^Make sure not to discard the circle cutouts from the lid, base, and door. ^_^They are all needed.\n^_^\n^_^![Closed](static/samples/CoinBankSafe-closed.jpg)\n^_^\n^_^![Open](static/samples/CoinBankSafe-open.jpg)\n^_^\n^_^Assemble the locking pins like this: wiggle-disc, number-disc, doorhole-^_^disc, spacer-disc, D-disc.\n^_^Glue the first three in place, but do not glue the last two.\n^_^Leaving them unglued will allow you change the code, and to remove the pin ^_^from the door.\n^_^\n^_^![Pins](static/samples/CoinBankSafe-pins.jpg)\n^_^\n","\n^_^Убедитесь, что вы не выбрасываете круглые вырезы из крышки, основания и двери. ^_^Они все нужны.\n^_^\n^_^![Закрыто](static/samples/CoinBankSafe-closed.jpg)\n^_^\n^_^![Открыто](static/samples/CoinBankSafe-open.jpg)\n^_^\n^_^Соберите фиксирующие штифты в следующем порядке: wiggle-диск, number-диск, doorhole-диск, spacer-диск, D-диск.\n^_^Первые три приклейте, но последние два не приклеивайте.\n^_^Если оставить их не приклеенными, вы сможете менять код и вынимать штифт из двери.\n^_^\n^_^![Штифты](static/samples/CoinBankSafe-pins.jpg)\n"
extend the triangle along the length of the edge (multiples of thickness),удлините треугольник вдоль края (в кратных толщины)
minimum space left and right without holes (fraction of the edge length),минимальное расстояние слева и справа без отверстий (доля длины края)
Distance in X from edge of tray in mm. Has no effect when text is centered.,"Расстояние по X от края лотка в мм. Не влияет, если текст по центру."
"Sliding lid rests on inner walls,\n^_^so will not work if no inner walls are present.\n^_^Suggested to place walls close to both sides for maximum stability.\n^_^Margin helps to prevent the lid from getting stuck.\n^_^Vertical margin increases the overall height.\n^_^The lip holding the lid in place can be generated as two separate\n^_^pieces or as a single piece that continues at the back.\n^_^\n^_^![Closed](static/samples/CompartmentBox-closed.jpg)\n^_^![Half open](static/samples/CompartmentBox-lid.jpg)\n","Сдвижная крышка опирается на внутренние стенки,\n^_^поэтому не будет работать, если внутренних стенок нет.\n^_^Рекомендуется размещать стенки ближе к краям для максимальной устойчивости.\n^_^Отступ помогает предотвратить заедание крышки.\n^_^Вертикальный отступ увеличивает общую высоту.\n^_^Язычок, удерживающий крышку, может быть выполнен как из двух отдельных\n^_^деталей, так и как одна деталь, продолжающаяся сзади.\n^_^\n^_^![Закрыто](static/samples/CompartmentBox-closed.jpg)\n^_^![Полуоткрыто](static/samples/CompartmentBox-lid.jpg)\n"
\n^_^\n^_^Console Arcade Stick\n^_^\n^_^![Front](static/samples/ConsoleArcadeStickFront.jpg)\n^_^![Back](static/samples/ConsoleArcadeStickBack.jpg)\n^_^![Inside](static/samples/ConsoleArcadeStickInside.jpg)\n^_^\n^_^Keyboard enclosure:\n,\n^_^\n^_^Аркадный стик для консоли\n^_^\n^_^![Вид спереди](static/samples/ConsoleArcadeStickFront.jpg)\n^_^![Вид сзади](static/samples/ConsoleArcadeStickBack.jpg)\n^_^![Внутри](static/samples/ConsoleArcadeStickInside.jpg)\n^_^\n^_^Корпус клавиатуры:\n
