msgid,msgstr
"\n%$$%This insert was designed with 3 mm plywood in mind, and should work fine %$$%with\n%$$%materials around this thickness.\n%$$%\n%$$%This is an insert for the [Agricola Revised Edition](https://%$$%boardgamegeek.com/boardgame/200680/agricola-revised-edition)\n%$$%board game. It is specifically designed around the [Farmers Of The Moor %$$%expansion](https://boardgamegeek.com/boardgameexpansion/257344/agricola-%$$%farmers-moor),\n%$$%and should also store the [5-6 players expansion](https://boardgamegeek.com/%$$%boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n%$$%(not tested, but I tried to take everything into account for it, please %$$%inform\n%$$%us if you tested it).\n%$$%\n%$$%It can be stored inside the original game box, including the 2 expansions,\n%$$%with the lid slightly raised.\n%$$%\n%$$%The parts of a given element are mostly generated next to each other %$$%vertically.\n%$$%It should be straightforward to match them.\n%$$%\n%$$%Here are the different elements, from left to right in the generated file.\n%$$%\n%$$%#### Card tray\n%$$%\n%$$%The cards are all kept in a tray, with paper dividers to sort them easily. %$$%When\n%$$%the tray is not full of cards, wood dividers slides in slots in order to %$$%keep\n%$$%the cards from falling into the empty space.\n%$$%\n%$$%There should be enough space for the main game, Farmers Of The Moor, and the %$$%5-6\n%$$%player expansion, but not much more than that.\n%$$%\n%$$%To keep a lower profile, the cards are at a slight angle, and the paper %$$%dividers\n%$$%tabs are horizontal instead of vertical.\n%$$%A small wall keeps the card against one side while the tabs protrude on the\n%$$%other side, above the small wall.\n%$$%\n%$$%The wall with the big hole is the sloped one. It goes between the two\n%$$%\""comb-like\"" walls first, with its two small holes at the bottom. Then %$$%there is a\n%$$%low-height long wall with a sloped edge which should go from the sloped wall %$$%to\n%$$%the other side. You can finish the tray with the last wall at the end.\n%$$%\n%$$%#### Upper level trays\n%$$%\n%$$%4 trays with movable walls are used to store resources. They were designed %$$%to\n%$$%store them in this order:\n%$$%\n%$$%* Stone / Vegetable / Pig / Cow\n%$$%* Reed / Grain / Sheep\n%$$%* Wood / Clay\n%$$%* Food / Fire\n%$$%\n%$$%The wall would probably be better if fixed instead of movable, but I would %$$%like\n%$$%to test with the 5-6 player expansion to be sure their positions are %$$%correct\n%$$%with it too.\n%$$%\n%$$%The little feet of the movable wall should be glued. The triangles are put\n%$$%horizontally, with their bases towards the sides.\n%$$%\n%$$%#### Lower level tray\n%$$%\n%$$%The lower level tray is used to store the horses.\n%$$%\n%$$%#### Room/Field tiles\n%$$%\n%$$%Two boxes are generated to store the room/field tiles. One for the wood/%$$%field,\n%$$%the other for the clay/stone. They are stored with the main opening upside, %$$%but\n%$$%I prefer to use them during play with this face on the side.\n%$$%\n%$$%#### Moor/Forest and miscellaneous tiles\n%$$%\n%$$%A box is generated to store the Moor/Forest tiles, and some other tiles such %$$%as\n%$$%the \""multiple resources\"" cardboard tokens.\n%$$%\n%$$%The Moor/Forest tiles are at the same height as the Room/Field, and the %$$%upper\n%$$%level trays are directly on them. The horse box and player box are slightly\n%$$%lower. This Moor/Forest box have a lowered corner (the one for the %$$%miscellaneous\n%$$%tiles). Two cardboard pieces can be stored between the smaller boxes and %$$%the\n%$$%upper level trays (as seen on the picture).\n%$$%\n%$$%Be sure to match the pieces so that the walls with smaller heights are next %$$%to\n%$$%each other.\n%$$%\n%$$%#### Players bit boxes\n%$$%\n%$$%Each player has its own box where the bits of his color are stored.\n%$$%The cardboard bed from Farmers Of The Moor is central to this box.\n%$$%\n%$$%* The fences are stored inside the bed\n%$$%* The bed is placed in the box, with holes to keep it there (and to take %$$%less\n%$$%  height)\n%$$%* The stables are stored in the two corners\n%$$%* The five farmers are stored between the bed and the three walls, %$$%alternatively\n%$$%  head up and head down.\n%$$%\n%$$%During assembly, the small bars are put in the middle holes. The two bigger\n%$$%holes at the ends are used for the bed feet. The bar keeps the bed from\n%$$%protruding underneath.\n%$$%\","\n%$$%Этот органайзер был разработан с учетом фанеры толщиной 3 мм и должен хорошо %$$%работать\n%$$%с материалами примерно такой толщины.\n%$$%\n%$$%Это органайзер для настольной игры [Agricola Revised Edition](https://%$$%boardgamegeek.com/boardgame/200680/agricola-revised-edition).\n%$$%Он специально спроектирован для дополнения [Farmers Of The Moor %$$%expansion](https://boardgamegeek.com/boardgameexpansion/257344/agricola-%$$%farmers-moor),\n%$$%а также должен вмещать [дополнение на 5-6 игроков](https://boardgamegeek.com/%$$%boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n%$$%(не проверено, но я постарался учесть все для него, пожалуйста, %$$%сообщите\n%$$%нам, если вы это проверили).\n%$$%\n%$$%Органайзер можно хранить внутри оригинальной коробки игры вместе с двумя %$$%дополнениями,\n%$$%при этом крышка будет немного приподнята.\n%$$%\n%$$%Детали одного элемента в основном располагаются рядом друг с другом %$$%вертикально.\n%$$%Их должно быть легко сопоставить.\n%$$%\n%$$%Вот различные элементы, слева направо в сгенерированном файле.\n%$$%\n%$$%#### Лоток для карт\n%$$%\n%$$%Все карты хранятся в лотке с бумажными разделителями для удобной сортировки. %$$%Когда\n%$$%лоток не полностью заполнен картами, деревянные разделители вставляются в пазы, чтобы %$$%удерживать\n%$$%карты и не давать им падать в пустое пространство.\n%$$%\n%$$%Должно хватить места для основной игры, Farmers Of The Moor и дополнения на 5-6\n%$$%игроков, но не намного больше.\n%$$%\n%$$%Чтобы сделать лоток ниже, карты размещаются под небольшим углом, а бумажные %$$%разделители\n%$$%имеют горизонтальные язычки вместо вертикальных.\n%$$%Небольшая стенка удерживает карты с одной стороны, а язычки выступают с\n%$$%другой стороны, над маленькой стенкой.\n%$$%\n%$$%Стенка с большим отверстием — это наклонная стенка. Сначала она устанавливается между двумя\n%$$%\""гребенчатыми\"" стенками, с двумя маленькими отверстиями внизу. Затем %$$%идет\n%$$%низкая длинная стенка с наклонным краем, которая должна идти от наклонной стенки %$$%к\n%$$%другой стороне. Завершить лоток можно последней стенкой в конце.\n%$$%\n%$$%#### Верхние лотки\n%$$%\n%$$%4 лотка с подвижными стенками используются для хранения ресурсов. Они были спроектированы %$$%для\n%$$%хранения в таком порядке:\n%$$%\n%$$%* Камень / Овощ / Свинья / Корова\n%$$%* Тростник / Зерно / Овца\n%$$%* Дерево / Глина\n%$$%* Еда / Огонь\n%$$%\n%$$%Стенка, возможно, была бы лучше, если бы была фиксированной, а не подвижной, но я бы хотел\n%$$%проверить с дополнением на 5-6 игроков, чтобы убедиться, что их позиции %$$%корректны\n%$$%и для него тоже.\n%$$%\n%$$%Маленькие ножки подвижной стенки нужно приклеить. Треугольники размещаются\n%$$%горизонтально, их основания направлены к бокам.\n%$$%\n%$$%#### Нижний лоток\n%$$%\n%$$%Нижний лоток используется для хранения лошадей.\n%$$%\n%$$%#### Коробки для тайлов комнат/полей\n%$$%\n%$$%Генерируются две коробки для хранения тайлов комнат/полей. Одна для дерева/%$$%поля,\n%$$%другая для глины/камня. Они хранятся с основным отверстием вверх, %$$%но\n%$$%я предпочитаю использовать их во время игры, когда это отверстие сбоку.\n%$$%\n%$$%#### Коробка для тайлов болот/лесов и прочих тайлов\n%$$%\n%$$%Генерируется коробка для хранения тайлов болот/лесов и некоторых других тайлов, таких %$$%как\n%$$%картонные жетоны \""несколько ресурсов\"".\n%$$%\n%$$%Тайлы болот/лесов имеют ту же высоту, что и тайлы комнат/полей, а %$$%верхние\n%$$%лотки располагаются прямо на них. Коробка для лошадей и коробка для игроков немного\n%$$%ниже. У этой коробки для болот/лесов есть заниженный угол (тот, что для %$$%прочих\n%$$%тайлов). Два картонных элемента можно хранить между меньшими коробками и %$$%верхними\n%$$%лотками (как показано на фото).\n%$$%\n%$$%Обязательно сопоставьте детали так, чтобы стенки с меньшей высотой были рядом %$$%друг с\n%$$%другом.\n%$$%\n%$$%#### Коробки для компонентов игроков\n%$$%\n%$$%У каждого игрока есть своя коробка для хранения компонентов его цвета.\n%$$%Картонная кровать из Farmers Of The Moor является центральной частью этой коробки.\n%$$%\n%$$%* Заборы хранятся внутри кровати\n%$$%* Кровать помещается в коробку, с отверстиями для фиксации (и чтобы занимать %$$%меньше\n%$$%  высоты)\n%$$%* Конюшни хранятся в двух углах\n%$$%* Пять фигурок фермеров размещаются между кроватью и тремя стенками, %$$%чередуя\n%$$%  вверх головой и вниз головой.\n%$$%\n%$$%Во время сборки маленькие палочки вставляются в средние отверстия. Два больших\n%$$%отверстия по краям используются для ножек кровати. Палочка не дает кровати\n%$$%выступать снизу.\n%$$%"
See [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-%$$%Purifier/)\,См. [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-%$$%Purifier/)
how far the dove tails stick out of/into the edge (multiples of thickness,насколько далеко ласточкин хвост выступает из/в край (в кратных толщины
height of hole(s) in percentage of maximum hole height (handle height - 2 * %$$%material thickness,высота отверстия(ий) в процентах от максимальной высоты отверстия (высота ручки - 2 * %$$%толщина материала
width of hole(s) in percentage of maximum hole width (width of edge - (n+1) %$$%* material thickness,ширина отверстия(ий) в процентах от максимальной ширины отверстия (ширина края - (n+1) %$$%* толщина материала
"added to side panels if checked, to front and back otherwise (only used with %$$%top_edge parameter","добавляется к боковым панелям, если выбрано, иначе к передней и задней (используется только с %$$%параметром top_edge"
"Shape of the plate cutout: 'castle' allows for modding, and 'simple' is a %$$%tighter and simpler squar","Форма выреза пластины: 'castle' позволяет модифицировать, а 'simple' — более плотная и простая квадратная"
"Each column is separated by '/', and is in the form 'nb_rows @ offset x %$$%repeat_count'. Nb_rows is the number of rows for this column. The offset is %$$%in mm and optional. Repeat_count is optional and repeats this column %$$%multiple times. Spaces are not important.For example '3x2 / 4@11' means we %$$%want 3 columns, the two first with 3 rows without offset, and the last with %$$%4 rows starting at 11mm high","Каждый столбец разделяется символом '/', и имеет вид 'nb_rows @ offset x %$$%repeat_count'. nb_rows — количество рядов в этом столбце. offset — смещение в мм, опционально. repeat_count — опционально, повторяет этот столбец несколько раз. Пробелы не важны. Например, '3x2 / 4@11' означает, что нужно 3 столбца: первые два с 3 рядами без смещения, последний — с 4 рядами начиная с 11 мм высоты"
"This box is more of a building block than a finished item.\n%$$%Use a vector graphics program (like Inkscape) to add holes or adjust the %$$%base\n%$$%plate. The width of the \""brim\"" can also be adjusted with the %$$%**edge_width**\n%$$% parameter in the **Finger Joints Settings**.\n%$$%\n%$$%See ClosedBox for variant without a base.\","Эта коробка больше как строительный блок, чем готовое изделие.\n%$$%Используйте векторный графический редактор (например, Inkscape), чтобы добавить отверстия или скорректировать %$$%основание\n%$$%пластину. Ширину \""кромки\"" также можно изменить с помощью параметра %$$%**edge_width**\n%$$% в настройках **Finger Joints Settings**.\n%$$%\n%$$%См. ClosedBox для варианта без основания."
"Glue together - all outside rings to the bottom, all inside rings to the top","Склейте вместе — все внешние кольца к низу, все внутренние кольца к верху"
mounting hole diameter (shaft:head) in mm [🛈](https://florianfesti.github.io/%$$%boxes/html/usermanual.html#mounting-holes,диаметр монтажного отверстия (вал:головка) в мм [🛈](https://florianfesti.github.io/%$$%boxes/html/usermanual.html#mounting-holes
"Angled display stand for books, ring files, flyers, postcards, or business %$$%cards","Наклонная подставка для книг, папок, буклетов, открыток или визиток"
"\n%$$%Smaller versions for postcards (with a small ledge) and for business cards:\n%$$%\n%$$%![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n%$$%\n%$$%![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n%$$%\n%$$%BookHolder with default parameters (A4 size, landscape, back_support):\n%$$%\n%$$%![BookHolder (back)](static/samples/BookHolder-back.jpg)\","%$$%Меньшие версии для открыток (с небольшим выступом) и для визиток:\n%$$%\n%$$%![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n%$$%\n%$$%![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n%$$%\n%$$%BookHolder с параметрами по умолчанию (размер A4, альбомная ориентация, back_support):\n%$$%\n%$$%![BookHolder (back)](static/samples/BookHolder-back.jpg)"
"When rendered with the \""double\"" option the parts with the double slots get %$$%connected the shorter beams in the asymmetrical slots.\n%$$%\n%$$%Without the \""double\"" option the stand is a bit more narrow.\","При выборе опции \""double\"" детали с двойными пазами соединяются с короткими балками в асимметричных пазах.\n%$$%\n%$$%Без опции \""double\"" подставка получается немного уже."
"## Stackable nestable sorting sieve for bricks\n%$$%A stackable sorting sieve for bricks, nestable for storage.\n%$$%You will need to export all 5 levels, to get a full sieve.\n%$$%If you feel you do not need the upper levels, just do not export them.\n%$$%x,y,h are the dimensions for the largest sieve,\n%$$%they will be the outer dimensions of the box,\n%$$%the smaller sieves will be nested inside, therefore smaller.\n%$$%Of course 256mm or 384mm (base plate size) are recommended values for x and %$$%y,\n%$$%but you can use any value you like.\n%$$%\n%$$%Full set of all 5 levels:\n%$$%![Full Set](static/samples/BrickSorter-2.jpg)\n%$$%\n%$$%![Full Set](static/samples/BrickSorter-3.jpg)\n%$$%\n%$$%Stacked for Usage:\n%$$%![Stacked](static/samples/BrickSorter-4.jpg)\n%$$%\n%$$%Nested for Storage:\n%$$%![Full Set](static/samples/BrickSorter-5.jpg)\n%$$%\n%$$%In Use:\n%$$%![Full Set](static/samples/BrickSorter-6.jpg)\","## Сортировочное сито для кирпичиков, штабелируемое и вкладываемое друг в друга\n%$$%Штабелируемое сито для сортировки кирпичиков, вкладываемое для хранения.\n%$$%Вам нужно экспортировать все 5 уровней, чтобы получить полное сито.\n%$$%Если верхние уровни не нужны, просто не экспортируйте их.\n%$$%x, y, h — размеры самого большого сита,\n%$$%они будут внешними размерами коробки,\n%$$%меньшие сита будут вложены внутрь, соответственно меньше.\n%$$%Рекомендуемые значения для x и y — 256 мм или 384 мм (размер базовой пластины),\n%$$%но вы можете использовать любые значения.\n%$$%\n%$$%Полный комплект из всех 5 уровней:\n%$$%![Full Set](static/samples/BrickSorter-2.jpg)\n%$$%\n%$$%![Full Set](static/samples/BrickSorter-3.jpg)\n%$$%\n%$$%Сложено для использования:\n%$$%![Stacked](static/samples/BrickSorter-4.jpg)\n%$$%\n%$$%Вложено для хранения:\n%$$%![Full Set](static/samples/BrickSorter-5.jpg)\n%$$%\n%$$%В использовании:\n%$$%![Full Set](static/samples/BrickSorter-6.jpg)"
Radius of the corners of the sieve pattern in mm. Enter 30 for circular %$$%holes,Радиус углов узора сита в мм. Введите 30 для круглых %$$%отверстий
This generator will make shapes that you can use to select\n%$$%optimal value for burn parameter for other generators. After burning try to\n%$$%attach sides with the same value and use best fitting one on real projects.\n%$$%In this generator set burn in the Default Settings to the lowest value\n%$$%to be tested. To get an idea cut a rectangle with known nominal size and\n%$$%measure the shrinkage due to the width of the laser cut. Now you can\n%$$%measure the burn value that you should use in other generators. It is half\n%$$%the difference of the overall size as shrinkage is occurring on both\n%$$%sides. You can use the reference rectangle as it is rendered without burn\n%$$%correction.\n%$$%\n%$$%See also LBeam that can serve as compact BurnTest and FlexTest for testing %$$%flex settings.\,Этот генератор создаст формы, которые вы можете использовать для выбора\n%$$%оптимального значения параметра прожига для других генераторов. После прожига попробуйте\n%$$%соединить стороны с тем же значением и используйте наиболее подходящее на реальных проектах.\n%$$%В этом генераторе установите прожиг в настройках по умолчанию на минимальное значение,\n%$$%которое будет тестироваться. Чтобы получить представление, вырежьте прямоугольник с известным номинальным размером и\n%$$%измерьте усадку из-за ширины лазерного реза. Теперь вы можете\n%$$%измерить значение прожига, которое следует использовать в других генераторах. Это половина\n%$$%разницы общего размера, так как усадка происходит с обеих\n%$$%сторон. Вы можете использовать опорный прямоугольник, так как он отображается без коррекции прожига.\n%$$%\n%$$%См. также LBeam, который может служить компактным тестом прожига (BurnTest) и гибкости (FlexTest) для проверки %$$%настроек гибкости.
\n%$$%for AA batteries:\n%$$%\n%$$%![CanStorage for AA batteries](static/samples/CanStorageAA.jpg)\n%$$%\n%$$%for canned tomatoes:\,%$$%для батареек AA:\n%$$%\n%$$%![CanStorage for AA batteries](static/samples/CanStorageAA.jpg)\n%$$%\n%$$%для консервированных помидоров:
The filter does not include the top rim. You need some rectangular wooden %$$%strip about 2-3cm in size to glue around. The x and y are without this rim %$$%and should be about 5 cm smaller that the nominal size.\n%$$%\n%$$%The following sizes are currently hard coded:\n%$$%\n%$$%* Height of rails on top: 50mm\n%$$%* Borders on top: 40mm\n%$$%* Char coal width (horizontal): 40mm\n%$$%* Bottom width: 40 + 20 + 40 mm\n%$$%\n%$$%For assembly it is important that all bottom plates are the same way up. %$$%This allows the ribs of adjacent pockets to pass beside each other.\n%$$%\n%$$%There are three type of ribs:\n%$$%\n%$$%* Those with staight tops go in the middle of the bottom plates\n%$$%* Those pointier angle go at the outer sides and meet with the side bars\n%$$%* The less pointy go at all other sides of the bottom plates that will end %$$%up on the inside\n%$$%\n%$$%The last two types of ribs do not have finger joints on the outside but %$$%still need to be glued to the top beam of the adjacent pocket or the left or %$$%right side bar.\,Фильтр не включает верхний обод. Вам понадобится прямоугольная деревянная рейка размером около 2-3 см, чтобы приклеить по периметру. x и y указаны без этого обода и должны быть примерно на 5 см меньше номинального размера.\n%$$%\n%$$%Следующие размеры сейчас жестко заданы:\n%$$%\n%$$%* Высота направляющих сверху: 50 мм\n%$$%* Края сверху: 40 мм\n%$$%* Ширина угля (горизонтально): 40 мм\n%$$%* Ширина дна: 40 + 20 + 40 мм\n%$$%\n%$$%Для сборки важно, чтобы все нижние пластины были одинаково ориентированы. Это позволяет рёбрам соседних карманов проходить рядом друг с другом.\n%$$%\n%$$%Есть три типа рёбер:\n%$$%\n%$$%* С прямыми верхушками — идут в середину нижних пластин\n%$$%* С более острым углом — идут по краям и соединяются с боковыми планками\n%$$%* Менее острые — на всех остальных сторонах нижних пластин, которые окажутся внутри\n%$$%\n%$$%У последних двух типов рёбер нет шипов снаружи, но их всё равно нужно приклеить к верхней балке соседнего кармана или к левой/правой боковой планке.
"\n%$$%### Description\n%$$%Versatile Box for Storage of playing cards. Multiple different styles of %$$%storage are supported, e.g. a flat storage or a trading card deck box style %$$%storage. See images for ideas.\n%$$%\n%$$%#### Building instructions\n%$$%Place inner walls on floor first (if any). Then add the outer walls. Glue %$$%the two walls without finger joins to the inside of the side walls. Make %$$%sure there is no squeeze out on top, as this is going to form the rail for %$$%the lid.\n%$$%\n%$$%Add the top of the rails to the sides (front open) or to the back and front %$$%(right side open) and the grip rail to the lid.\n%$$%Details of the lid and rails\n%$$%![Details](static/samples/CardBox-detail.jpg)\n%$$%Whole box (early version still missing grip rail on the lid):\","%$$%### Описание\n%$$%Универсальная коробка для хранения игральных карт. Поддерживается несколько разных стилей хранения, например, плоское хранение или коробка для колоды коллекционных карт. Смотрите изображения для идей.\n%$$%\n%$$%#### Инструкция по сборке\n%$$%Сначала установите внутренние стенки на дно (если есть). Затем добавьте внешние стенки. Приклейте две стенки без соединений типа «ласточкин хвост» к внутренней стороне боковых стенок. Убедитесь, что клей не выступает сверху, так как это будет формировать направляющую для крышки.\n%$$%\n%$$%Добавьте верх направляющих к бокам (открыто спереди) или к задней и передней части (открыто справа), а также ручку к крышке.\n%$$%Детали крышки и направляющих\n%$$%![Details](static/samples/CardBox-detail.jpg)\n%$$%Вся коробка (ранняя версия, еще без ручки на крышке):"
Direction in which the lid slides open. Lid length > Lid width recommended,Направление, в котором открывается крышка. Рекомендуется, чтобы длина крышки была больше ширины
minimum space left and right without grooves (fraction of the edge length),минимальное расстояние слева и справа без пазов (доля длины края)
This was done as a table decoration. May be at some point in the future %$$%someone will create a proper castle\n%$$%with towers and gates and walls that can be attached in multiple %$$%configurations,Это было сделано как украшение для стола. Возможно, в будущем кто-то создаст настоящий замок\n%$$%с башнями, воротами и стенами, которые можно соединять в разных конфигурациях
This box is more of a building block than a finished item.\n%$$%Use a vector graphics program (like Inkscape) to add holes or adjust the %$$%base\n%$$%plate.\n%$$%\n%$$%See BasedBox for variant with a base,Эта коробка больше похожа на строительный блок, чем на готовое изделие.\n%$$%Используйте векторный графический редактор (например, Inkscape), чтобы добавить отверстия или скорректировать %$$%основание\n%$$%пластину.\n%$$%\n%$$%См. BasedBox для варианта с основанием
\n%$$%Coffee capsule holder\,\n%$$%Держатель для кофейных капсул\
"\n%$$%    You can store your coffee capsule near your espresso machine with this. %$$%It works both vertically, or upside down under a shelf.\",\n%$$%    Вы можете хранить свои кофейные капсулы рядом с вашей эспрессо-машиной с помощью этого держателя. %$$%Он работает как в вертикальном положении, так и перевёрнутым под полкой.\"
"\n%$$%Make sure not to discard the circle cutouts from the lid, base, and door. %$$%They are all needed.\n%$$%\n%$$%![Closed](static/samples/CoinBankSafe-closed.jpg)\n%$$%\n%$$%![Open](static/samples/CoinBankSafe-open.jpg)\n%$$%\n%$$%Assemble the locking pins like this: wiggle-disc, number-disc, doorhole-%$$%disc, spacer-disc, D-disc.\n%$$%Glue the first three in place, but do not glue the last two.\n%$$%Leaving them unglued will allow you change the code, and to remove the pin %$$%from the door.\n%$$%\n%$$%![Pins](static/samples/CoinBankSafe-pins.jpg)\n%$$%\",\"\n%$$%Убедитесь, что вы не выбрасываете круглые вырезы из крышки, основания и двери. %$$%Они все нужны.\n%$$%\n%$$%![Закрыто](static/samples/CoinBankSafe-closed.jpg)\n%$$%\n%$$%![Открыто](static/samples/CoinBankSafe-open.jpg)\n%$$%\n%$$%Соберите фиксирующие штифты в следующем порядке: wiggle-диск, number-диск, doorhole-диск, spacer-диск, D-диск.\n%$$%Первые три приклейте, но последние два не приклеивайте.\n%$$%Если оставить их не приклеенными, вы сможете менять код и вынимать штифт из двери.\n%$$%\n%$$%![Штифты](static/samples/CoinBankSafe-pins.jpg)\"
extend the triangle along the length of the edge (multiples of thickness,удлините треугольник вдоль края (в кратных толщины
minimum space left and right without holes (fraction of the edge length,минимальное расстояние слева и справа без отверстий (доля длины края
Distance in X from edge of tray in mm. Has no effect when text is centered,Расстояние по X от края лотка в мм. Не влияет, если текст по центру
"Sliding lid rests on inner walls,\n%$$%so will not work if no inner walls are present.\n%$$%Suggested to place walls close to both sides for maximum stability.\n%$$%Margin helps to prevent the lid from getting stuck.\n%$$%Vertical margin increases the overall height.\n%$$%The lip holding the lid in place can be generated as two separate\n%$$%pieces or as a single piece that continues at the back.\n%$$%\n%$$%![Closed](static/samples/CompartmentBox-closed.jpg)\n%$$%![Half open](static/samples/CompartmentBox-lid.jpg)\",\"Сдвижная крышка опирается на внутренние стенки,\n%$$%поэтому не будет работать, если внутренних стенок нет.\n%$$%Рекомендуется размещать стенки ближе к краям для максимальной устойчивости.\n%$$%Отступ помогает предотвратить заедание крышки.\n%$$%Вертикальный отступ увеличивает общую высоту.\n%$$%Язычок, удерживающий крышку, может быть выполнен как из двух отдельных\n%$$%деталей, так и как одна деталь, продолжающаяся сзади.\n%$$%\n%$$%![Закрыто](static/samples/CompartmentBox-closed.jpg)\n%$$%![Полуоткрыто](static/samples/CompartmentBox-lid.jpg)\"
\n%$$%\n%$$%Console Arcade Stick\n%$$%\n%$$%![Front](static/samples/ConsoleArcadeStickFront.jpg)\n%$$%![Back](static/samples/ConsoleArcadeStickBack.jpg)\n%$$%![Inside](static/samples/ConsoleArcadeStickInside.jpg)\n%$$%\n%$$%Keyboard enclosure:\,\n%$$%\n%$$%Аркадный стик для консоли\n%$$%\n%$$%![Вид спереди](static/samples/ConsoleArcadeStickFront.jpg)\n%$$%![Вид сзади](static/samples/ConsoleArcadeStickBack.jpg)\n%$$%![Внутри](static/samples/ConsoleArcadeStickInside.jpg)\n%$$%\n%$$%Корпус клавиатуры:\
