msgid,msgstr
m Edge for slide on lid (left),m Край для надвижной крышки (левый)
Edge for slide on lid (box right),Край для надвижной крышки (правая стенка коробки)
N Edge for slide on lid (box right),N Край для надвижной крышки (правая стенка коробки)
Edge for slide on lid (box left),Край для надвижной крышки (левая стенка коробки)
M Edge for slide on lid (box left),M Край для надвижной крышки (левая стенка коробки)
Click on (bottom side),Защелка (нижняя сторона)
c Click on (bottom side),c Защелка (нижняя сторона)
Click on (top),Защелка (верх)
C Click on (top),C Защелка (верх)
Dove Tail Joint,Соединение "ласточкин хвост"
d Dove Tail Joint,d Соединение "ласточкин хвост"
Dove Tail Joint (opposing side),Соединение "ласточкин хвост" (противоположная сторона)
D Dove Tail Joint (opposing side),D Соединение "ласточкин хвост" (противоположная сторона)
Flex cut,Гибкий разрез
X Flex cut,X Гибкий разрез
Rack (and pinion) Edge,Зубчатый край (реечный)
R Rack (and pinion) Edge,R Зубчатый край (реечный)
Triangle for handle,Треугольник для ручки
t Triangle for handle,t Треугольник для ручки
T Triangle for handle,T Треугольник для ручки
Handle for e.g. a drawer,Ручка для ящика
y Handle for e.g. a drawer,y Ручка для ящика
Handle with holes for parallel finger joint,Ручка с отверстиями для параллельного шипового соединения
Y Handle with holes for parallel finger joint,Y Ручка с отверстиями для параллельного шипового соединения
Straight edge with hinge eye (other end),Прямой край с проушиной петли (другой конец)
j Straight edge with hinge eye (other end),j Прямой край с проушиной петли (другой конец)
Edge with hinge pin (other end),Край со штифтом петли (другой конец)
J Edge with hinge pin (other end),J Край со штифтом петли (другой конец)
Straight edge with hinge eye (both ends),Прямой край с проушиной петли (оба конца)
k Straight edge with hinge eye (both ends),k Прямой край с проушиной петли (оба конца)
Edge with hinge pin (both ends),Край со штифтом петли (оба конца)
K Edge with hinge pin (both ends),K Край со штифтом петли (оба конца)
Edge with chest hinge (other end),Край с сундучной петлей (другой конец)
O Edge with chest hinge (other end),O Край с сундучной петлей (другой конец)
P Edge with chest hinge (other end),P Край с сундучной петлей (другой конец)
Edge with cabinet hinges top side,Край с мебельными петлями верхняя сторона
U Edge with cabinet hinges top side,U Край с мебельными петлями верхняя сторона
Edge with cabinet hinges for 90° lid,Край с мебельными петлями для крышки 90°
v Edge with cabinet hinges for 90° lid,v Край с мебельными петлями для крышки 90°
Edge with cabinet hinges 90° lid,Край с мебельными петлями крышка 90°
V Edge with cabinet hinges 90° lid,V Край с мебельными петлями крышка 90°
Box,Коробка
Boxes,Коробки
FlexBox,Гибкая коробка
Boxes with flex,Коробки с гибкими элементами
Tray,Лоток
Trays and Drawer Inserts,Лотки и вставки для ящиков
Shelf,Полка
Shelves,Полки
WallMounted,Настенный
Holes,Отверстия
Hole patterns,Шаблоны отверстий
Part,Деталь
Parts and Samples,Детали и образцы
Misc,Разное
Unstable,Нестабильный
Generators are still untested or need manual adjustment to be useful.,Генераторы еще не протестированы или требуют ручной настройки для использования.
DefaultParams Settings,Настройки параметров по умолчанию
x,x
inner width in mm (unless outside selected),внутренняя ширина в мм (если не выбран внешний размер)
y,y
inner depth in mm (unless outside selected),внутренняя глубина в мм (если не выбран внешний размер)
h,h
inner height in mm (unless outside selected),внутренняя высота в мм (если не выбран внешний размер)
hi,hi
inner height of inner walls in mm (unless outside selected)(leave to zero for same as outer walls),внутренняя высота внутренних стенок в мм (если не выбран внешний размер)(оставить ноль для той же высоты что и внешние стенки)
sx,sx
sections left to right in mm [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters),секции слева направо в мм [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters)
sy,sy
sections back to front in mm [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters),секции сзади наперед в мм [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters)
sh,sh
sections bottom to top in mm [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters),секции снизу вверх в мм [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#section-parameters)
bottom_edge,bottom_edge
edge type for bottom edge,тип края для нижнего края
F,F
s,s
e,e
top_edge,top_edge
edge type for top edge,тип края для верхнего края
f,f
c,c
E,E
S,S
Š,Š
i,i
k,k
v,v
L,L
t,t
G,G
Y,Y
outside,outside
treat sizes as outside measurements [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#outside),обрабатывать размеры как внешние измерения [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#outside)
nema_mount,nema_mount
NEMA size of motor,размер двигателя NEMA
Default Settings,Настройки по умолчанию
thickness,thickness
thickness of the material (in mm) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#thickness),толщина материала (в мм) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#thickness)
format,format
format of resulting file [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#format),формат результирующего файла [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#format)
dxf,dxf
gcode,gcode
lbrn2,lbrn2
pdf,pdf
plt,plt
ps,ps
svg,svg
svg_Ponoko,svg_Ponoko
tabs,tabs
width of tabs holding the parts in place (in mm)(not supported everywhere) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#tabs),ширина выступов удерживающих детали на месте (в мм)(поддерживается не везде) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#tabs)
qr_code,qr_code
Add a QR Code with link or command line to the generated output,Добавить QR-код со ссылкой или командной строкой к генерируемому выводу
debug,debug
print surrounding boxes for some structures [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#debug),печатать окружающие коробки для некоторых структур [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#debug)
labels,labels
label the parts (where available),подписывать детали (где доступно)
reference,reference
print reference rectangle with given length (in mm)(zero to disable) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#reference),печатать референсный прямоугольник заданной длины (в мм)(ноль для отключения) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#reference)
inner_corners,inner_corners
style for inner corners [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#inner-corners),стиль для внутренних углов [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#inner-corners)
loop,петля
corner,угол
backarc,обратная дуга
burn,burn
burn correction (in mm)(bigger values for tighter fit) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#burn),коррекция прожига (в мм)(большие значения для более плотной посадки) [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#burn)
Settings for Finger Joints,Настройки для шиповых соединений
style,style
style of the fingers,стиль шипов
rectangular,прямоугольный
springs,пружины
barbs,зазубрины
snap,защелка
surroundingspaces,surroundingspaces
space at the start and end in multiple of normal spaces,пространство в начале и конце в кратных нормальных пространствах
bottom_lip,bottom_lip
height of the bottom lips sticking out  (multiples of thickness) FingerHoleEdge only!,высота нижних губ выступающих наружу (кратные толщине) только для FingerHoleEdge!
edge_width,edge_width
space below holes of FingerHoleEdge (multiples of thickness),пространство под отверстиями FingerHoleEdge (кратные толщине)
extra_length,extra_length
extra material to grind away burn marks (multiples of thickness),дополнительный материал для шлифовки следов прожига (кратные толщине)
finger,finger
width of the fingers (multiples of thickness),ширина шипов (кратные толщине)
play,play
extra space to allow finger move in and out (multiples of thickness),дополнительное пространство для движения шипов внутрь и наружу (кратные толщине)
space,space
space between fingers (multiples of thickness),пространство между шипами (кратные толщине)
width,width
width of finger holes (multiples of thickness),ширина отверстий для шипов (кратные толщине)
Settings for Stackable Edges,Настройки для штабелируемых краев
angle,angle
inside angle of the feet,внутренний угол ножек
bottom_stabilizers,bottom_stabilizers
height of strips to be glued to the inside of bottom edges (multiples of thickness),высота полосок приклеиваемых к внутренней стороне нижних краев (кратные толщине)
height,высота
height of the feet (multiples of thickness),высота ножек (кратно толщине)
holedistance,расстояние до отверстий
distance from finger holes to bottom edge (multiples of thickness),расстояние от отверстий для пальцев до нижнего края (кратно толщине)
width of the feet (multiples of thickness),ширина ножек (кратно толщине)
Settings for Hinges and HingePins,Настройки петель и осей петель
grip_percentage,процент захвата
outset,выступ
have lid overlap at the sides (similar to OutSetEdge),перекрытие крышки по бокам (аналогично OutSetEdge)
pinwidth,ширина оси
set to lower value to get disks surrounding the pins,установите меньшее значение для получения дисков вокруг осей
axle,ось
diameter of the pin hole (multiples of thickness),диаметр отверстия оси (кратно толщине)
grip_length,длина захвата
fixed length of the grips on he lids (multiples of thickness),фиксированная длина захватов на крышках (кратно толщине)
hingestrength,прочность петли
thickness of the arc holding the pin in place (multiples of thickness),толщина дуги удерживающей ось на месте (кратно толщине)
Settings for Slide-on Lids,Настройки надвижных крышек
hole_width,ширина отверстия
"width of the \""finger hole\"" in mm",ширина отверстия для пальца в мм
second_pin,вторая ось
additional pin for better positioning,дополнительная ось для лучшего позиционирования
spring,пружина
position(s) of the extra locking springs in the lid,позиция(и) дополнительных блокирующих пружин в крышке
both,оба
none,нет
left,левый
right,правый
Settings for Click-on Lids,Настройки защелкивающихся крышек
angle of the hooks bending outward,угол изгиба крючков наружу
bottom_radius,радиус дна
radius at the bottom (multiples of thickness),радиус внизу (кратно толщине)
depth,глубина
length of the hooks (multiples of thickness),длина крючков (кратно толщине)
Settings for Flex,Настройки гибкости
stretch,растяжение
Hint of how much the flex part should be shortened,Подсказка о том насколько должна быть укорочена гибкая часть
connection,соединение
width of the gaps in the cuts (multiples of thickness),ширина зазоров в разрезах (кратно толщине)
distance,расстояние
width of the pattern perpendicular to the cuts (multiples of thickness),ширина паттерна перпендикулярно разрезам (кратно толщине)
width of the pattern in direction of the cuts (multiples of thickness),ширина паттерна в направлении разрезов (кратно толщине)
Settings for the Lid,Настройки крышки
handle,ручка
type of handle,тип ручки
long_rounded,длинная закругленная
long_trapezoid,длинная трапециевидная
long_doublerounded,длинная двойная закругленная
knob,ручка-кнопка
type of lid to create,тип создаваемой крышки
flat,плоская
chest,сундук
overthetop,поверх
ontop,сверху
handle_height,высота ручки
height of the handle (if applicable),высота ручки (если применимо)
height of the brim (if any),высота края (если есть)
play when sliding the lid on (if applicable),люфт при надевании крышки (если применимо)
ABox,Простая коробка
A simple Box,Простая коробка
This box is kept simple on purpose. If you need more features have a look at the UniversalBox.,Эта коробка намеренно сделана простой. Если вам нужны дополнительные функции посмотрите на UniversalBox.
ABox Settings,Настройки простой коробки
AgricolaInsert,Органайзер для Agricola
"\nAgricola Revised Edition game box insert, including some expansions.\n","\nОрганайзер для коробки игры Agricola Revised Edition включая некоторые дополнения.\n"
"\nThis insert was designed with 3 mm plywood in mind, and should work fine with\nmaterials around this thickness.\n\nThis is an insert for the [Agricola Revised Edition](https://boardgamegeek.com/boardgame/200680/agricola-revised-edition)\nboard game. It is specifically designed around the [Farmers Of The Moor expansion](https://boardgamegeek.com/boardgameexpansion/257344/agricola-farmers-moor),\nand should also store the [5-6 players expansion](https://boardgamegeek.com/boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n(not tested, but I tried to take everything into account for it, please inform\nus if you tested it).\n\nIt can be stored inside the original game box, including the 2 expansions,\nwith the lid slightly raised.\n\nThe parts of a given element are mostly generated next to each other vertically.\nIt should be straightforward to match them.\n\nHere are the different elements, from left to right in the generated file.\n\n#### Card tray\n\nThe cards are all kept in a tray, with paper dividers to sort them easily. When\nthe tray is not full of cards, wood dividers slides in slots in order to keep\nthe cards from falling into the empty space.\n\nThere should be enough space for the main game, Farmers Of The Moor, and the 5-6\nplayer expansion, but not much more than that.\n\nTo keep a lower profile, the cards are at a slight angle, and the paper dividers\ntabs are horizontal instead of vertical.\nA small wall keeps the card against one side while the tabs protrude on the\nother side, above the small wall.\n\nThe wall with the big hole is the sloped one. It goes between the two\n\""comb-like\"" walls first, with its two small holes at the bottom. Then there is a\nlow-height long wall with a sloped edge which should go from the sloped wall to\nthe other side. You can finish the tray with the last wall at the end.\n\n#### Upper level trays\n\n4 trays with movable walls are used to store resources. They were designed to\nstore them in this order:\n\n* Stone / Vegetable / Pig / Cow\n* Reed / Grain / Sheep\n* Wood / Clay\n* Food / Fire\n\nThe wall would probably be better if fixed instead of movable, but I would like\nto test with the 5-6 player expansion to be sure their positions are correct\nwith it too.\n\nThe little feet of the movable wall should be glued. The triangles are put\nhorizontally, with their bases towards the sides.\n\n#### Lower level tray\n\nThe lower level tray is used to store the horses.\n\n#### Room/Field tiles\n\nTwo boxes are generated to store the room/field tiles. One for the wood/field,\nthe other for the clay/stone. They are stored with the main opening upside, but\nI prefer to use them during play with this face on the side.\n\n#### Moor/Forest and miscellaneous tiles\n\nA box is generated to store the Moor/Forest tiles, and some other tiles such as\nthe \""multiple resources\"" cardboard tokens.\n\nThe Moor/Forest tiles are at the same height as the Room/Field, and the upper\nlevel trays are directly on them. The horse box and player box are slightly\nlower. This Moor/Forest box have a lowered corner (the one for the miscellaneous\ntiles). Two cardboard pieces can be stored between the smaller boxes and the\nupper level trays (as seen on the picture).\n\nBe sure to match the pieces so that the walls with smaller heights are next to\neach other.\n\n#### Players bit boxes\n\nEach player has its own box where the bits of his color are stored.\nThe cardboard bed from Farmers Of The Moor is central to this box.\n\n* The fences are stored inside the bed\n* The bed is placed in the box, with holes to keep it there (and to take less\n  height)\n* The stables are stored in the two corners\n* The five farmers are stored between the bed and the three walls, alternatively\n  head up and head down.\n\nDuring assembly, the small bars are put in the middle holes. The two bigger\nholes at the ends are used for the bed feet. The bar keeps the bed from\nprotruding underneath.\n\n","\nЭтот органайзер разработан с учетом 3 мм фанеры и должен хорошо работать с\nматериалами приблизительно такой толщины.\n\nЭто органайзер для настольной игры [Agricola Revised Edition](https://boardgamegeek.com/boardgame/200680/agricola-revised-edition).\nОн специально разработан для дополнения [Farmers Of The Moor](https://boardgamegeek.com/boardgameexpansion/257344/agricola-farmers-moor),\nи также должен вмещать [дополнение для 5-6 игроков](https://boardgamegeek.com/boardgameexpansion/210625/agricola-expansion-5-and-6-players)\n(не протестировано, но я попытался учесть все для него, пожалуйста сообщите\nнам если вы протестировали).\n\nОн помещается в оригинальную коробку игры, включая 2 дополнения,\nс немного приподнятой крышкой.\n\nЧасти данного элемента в основном генерируются рядом друг с другом вертикально.\nДолжно быть просто их совместить.\n\nВот различные элементы, слева направо в сгенерированном файле.\n\n#### Лоток для карт\n\nВсе карты хранятся в лотке, с бумажными разделителями для легкой сортировки. Когда\nлоток не полон карт, деревянные разделители вставляются в пазы чтобы не дать\nкартам упасть в пустое пространство.\n\nДолжно быть достаточно места для основной игры, Farmers Of The Moor, и дополнения для 5-6\nигроков, но не намного больше.\n\nДля более низкого профиля карты расположены под небольшим углом, а язычки бумажных разделителей\nгоризонтальные вместо вертикальных.\nНебольшая стенка держит карты с одной стороны, а язычки выступают с\nдругой стороны, над маленькой стенкой.\n\nСтенка с большим отверстием - наклонная. Она идет между двумя\n\"гребнеобразными\" стенками сначала, с двумя маленькими отверстиями внизу. Затем есть\nдлинная стенка малой высоты с наклонным краем которая должна идти от наклонной стенки к\nдругой стороне. Вы можете закончить лоток последней стенкой в конце.\n\n#### Лотки верхнего уровня\n\n4 лотка с подвижными стенками используются для хранения ресурсов. Они были разработаны для\nхранения их в таком порядке:\n\n* Камень / Овощи / Свинья / Корова\n* Тростник / Зерно / Овца\n* Дерево / Глина\n* Еда / Огонь\n\nСтенка вероятно была бы лучше если бы была фиксированной вместо подвижной, но я хотел бы\nпротестировать с дополнением для 5-6 игроков чтобы убедиться что их позиции правильные\nи с ним тоже.\n\nМаленькие ножки подвижной стенки должны быть приклеены. Треугольники располагаются\nгоризонтально, основаниями к сторонам.\n\n#### Лоток нижнего уровня\n\nЛоток нижнего уровня используется для хранения лошадей.\n\n#### Плитки комнат/полей\n\nГенерируются две коробки для хранения плиток комнат/полей. Одна для дерева/поля,\nдругая для глины/камня. Они хранятся основным отверстием вверх, но\nя предпочитаю использовать их во время игры с этой стороной сбоку.\n\n#### Плитки болота/леса и разные плитки\n\nГенерируется коробка для хранения плиток болота/леса, и некоторых других плиток таких как\nкартонные жетоны \"множественных ресурсов\".\n\nПлитки болота/леса той же высоты что и комнаты/поля, и лотки верхнего\nуровня располагаются прямо на них. Коробка для лошадей и коробка игрока немного\nниже. Эта коробка болота/леса имеет пониженный угол (тот что для разных\nплиток). Два картонных куска можно хранить между меньшими коробками и\nлотками верхнего уровня (как видно на картинке).\n\nУбедитесь что совмещаете куски так чтобы стенки с меньшими высотами были рядом\nдруг с другом.\n\n#### Коробки компонентов игроков\n\nУ каждого игрока есть своя коробка где хранятся компоненты его цвета.\nКартонная кровать из Farmers Of The Moor центральная в этой коробке.\n\n* Заборы хранятся внутри кровати\n* Кровать помещается в коробку, с отверстиями чтобы держать ее там (и занимать меньше\n  высоты)\n* Хлева хранятся в двух углах\n* Пять фермеров хранятся между кроватью и тремя стенками, поочередно\n  головой вверх и головой вниз.\n\nВо время сборки маленькие планки помещаются в средние отверстия. Два больших\nотверстия по краям используются для ножек кровати. Планка не дает кровати\nвыступать снизу.\n\n"
AgricolaInsert Settings,Настройки органайзера Agricola
AirPurifier,Очиститель воздуха
Housing for the Nukit Open Air Purifier,Корпус для очистителя воздуха Nukit Open
See [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-Purifier/)\n,См. [Nukit Open Air Purifier](https://github.com/opennukit/Nukit-Open-Air-Purifier/)\n
AirPurifier Settings,Настройки очистителя воздуха
inner width in mm,внутренняя ширина в мм
inner depth in mm,внутренняя глубина в мм
filter_height,высота фильтра
height of the filter along the flow direction (in mm),высота фильтра вдоль направления потока (в мм)
rim,ободок
rim around the filter holding it in place (in mm),ободок вокруг фильтра удерживающий его на месте (в мм)
fan_diameter,диаметр вентилятора
diameter of the fans (in mm),диаметр вентиляторов (в мм)
filters,фильтры
Filters on both sides or only one,Фильтры с обеих сторон или только с одной
split_frames,разделить рамки
Split frame pieces into four thin rectangles to save material,Разделить детали рамки на четыре тонких прямоугольника для экономии материала
fans_left,вентиляторы слева
number of fans on the left side (-1 for maximal number),количество вентиляторов слева (-1 для максимального количества)
fans_right,вентиляторы справа
number of fans on the right side (-1 for maximal number),количество вентиляторов справа (-1 для максимального количества)
fans_top,вентиляторы сверху
number of fans on the top side (-1 for maximal number),количество вентиляторов сверху (-1 для максимального количества)
fans_bottom,вентиляторы снизу
number of fans on the bottom side (-1 for maximal number),количество вентиляторов снизу (-1 для максимального количества)
screw_holes,винтовые отверстия
diameter of the holes for screwing in the fans (in mm),диаметр отверстий для привинчивания вентиляторов (в мм)
Settings for Dove Tail Joints,Настройки соединений типа ласточкин хвост
how much should fingers widen (-80 to 80),насколько должны расширяться пальцы (-80 до 80)
how far the dove tails stick out of/into the edge (multiples of thickness),насколько далеко ласточкины хвосты выступают из/в край (кратно толщине)
radius,радиус
radius used on all four corners (multiples of thickness),радиус используемый на всех четырех углах (кратно толщине)
size,размер
from one middle of a dove tail to another (multiples of thickness),от одной середины ласточкиного хвоста к другой (кратно толщине)
AllEdges,Все края
Showing all edge types,Показ всех типов краев
AllEdges Settings,Настройки всех краев
Settings for HandleEdge,Настройки края с ручкой
height above the wall in mm,высота над стенкой в мм
hole_height,высота отверстия
height of hole(s) in percentage of maximum hole height (handle height - 2 * material thickness),высота отверстия(й) в процентах от максимальной высоты отверстия (высота ручки - 2 * толщина материала)
width of hole(s) in percentage of maximum hole width (width of edge - (n+1) * material thickness),ширина отверстия(й) в процентах от максимальной ширины отверстия (ширина края - (n+1) * толщина материала)
on_sides,по бокам
"added to side panels if checked, to front and back otherwise (only used with top_edge parameter)",добавляется к боковым панелям если отмечено, к передней и задней в противном случае (используется только с параметром top_edge)
radius of corners in mm,радиус углов в мм
extend the handle along the length of the edge (multiples of thickness),расширить ручку вдоль длины края (кратно толщине)
AngledBox,Угловая коробка
Box with both ends cornered,Коробка с обоими концами под углом
AngledBox Settings,Настройки угловой коробки
n,n
number of walls at one side (1+),количество стенок на одной стороне (1+)
top,верх
style of the top and lid,стиль верха и крышки
angled hole,угловое отверстие
angled lid,угловая крышка
angled lid2,угловая крышка2
AngledCutJig,Приспособление для угловых резов
Jig for making angled cuts in a laser cutter,Приспособление для выполнения угловых резов в лазерном станке
AngledCutJig Settings,Настройки приспособления для угловых резов
Angle of the cut,Угол реза
Arcade,Аркада
Desktop Arcade Machine,Настольный аркадный автомат
Arcade Settings,Настройки аркады
inner width of the console,внутренняя ширина консоли
monitor_height,высота монитора
keyboard_depth,глубина клавиатуры
Atreus21,Atreus21
Generator for a split atreus keyboard.,Генератор для разделенной клавиатуры atreus.
Atreus21 Settings,Настройки Atreus21
hotswap_enable,включить горячую замену
enlarge switches holes for hotswap pcb sockets,увеличить отверстия переключателей для сокетов горячей замены PCB
pcb_mount_enable,включить крепление PCB
adds holes for pcb mount switches,добавляет отверстия для переключателей крепления PCB
led_enable,включить LED
adds pin holes under switches for leds,добавляет отверстия для штырьков под переключатели для светодиодов
diode_enable,включить диоды
adds pin holes under switches for diodes,добавляет отверстия для штырьков под переключатели для диодов
cutout_type,тип выреза
"Shape of the plate cutout: 'castle' allows for modding, and 'simple' is a tighter and simpler square",Форма выреза пластины: 'castle' позволяет модификацию, а 'simple' - более плотный и простой квадрат
columns_definition,определение колонок
"Each column is separated by '/', and is in the form 'nb_rows @ offset x repeat_count'. Nb_rows is the number of rows for this column. The offset is in mm and optional. Repeat_count is optional and repeats this column multiple times. Spaces are not important.For example '3x2 / 4@11' means we want 3 columns, the two first with 3 rows without offset, and the last with 4 rows starting at 11mm high.",Каждая колонка разделяется символом '/', и имеет вид 'nb_rows @ offset x repeat_count'. Nb_rows - это количество строк для этой колонки. Смещение в мм и опционально. Repeat_count опционально и повторяет эту колонку несколько раз. Пробелы не важны. Например '3x2 / 4@11' означает что мы хотим 3 колонки, первые две с 3 строками без смещения, и последнюю с 4 строками начиная с высоты 11мм.
BasedBox,Коробка на основании
Fully closed box on a base,Полностью закрытая коробка на основании
"This box is more of a building block than a finished item.\nUse a vector graphics program (like Inkscape) to add holes or adjust the base\nplate. The width of the \""brim\"" can also be adjusted with the **edge_width**\n parameter in the **Finger Joints Settings**.\n\nSee ClosedBox for variant without a base.\n",Эта коробка больше строительный блок чем готовый предмет.\nИспользуйте программу векторной графики (как Inkscape) для добавления отверстий или настройки базовой\nпластины. Ширина \"края\" также может быть настроена параметром **edge_width**\nв **Настройках пальцевых соединений**.\n\nСм. ClosedBox для варианта без основания.\n
BasedBox Settings,Настройки коробки на основании
BayonetBox,Штыковая коробка
Round box made from layers with twist on top,Круглая коробка сделанная из слоев с поворотом сверху
"Glue together - all outside rings to the bottom, all inside rings to the top.","Склейте - все внешние кольца к низу, все внутренние кольца к верху."
BayonetBox Settings,Настройки штыковой коробки
diameter,диаметр
Diameter of the box in mm,Диаметр коробки в мм
lugs,выступы
number of locking lugs,количество блокирующих выступов
alignment_pins,штифты выравнивания
diameter of the alignment pins,диаметр штифтов выравнивания
BinTray,Лоток-контейнер
A Type tray variant to be used up right with sloped walls in front,Вариант типового лотка для использования в вертикальном положении с наклонными стенками спереди
BinTray Settings,Настройки лотка-контейнера
hole_dD,диаметр отверстия
mounting hole diameter (shaft:head) in mm [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#mounting-holes),диаметр монтажного отверстия (стержень:головка) в мм [🛈](https://florianfesti.github.io/boxes/html/usermanual.html#mounting-holes)
front,передняя часть
fraction of bin height covered with slope,доля высоты контейнера покрытая наклоном
BirdHouse,Скворечник
Simple Bird House,Простой скворечник
BirdHouse Settings,Настройки скворечника
inner height in mm,внутренняя высота в мм
roof_overhang,свес крыши
overhang as fraction of the roof length,свес как доля длины крыши
BookHolder,Держатель книг
"Angled display stand for books, ring files, flyers, postcards, or business cards.","Наклонная подставка для книг, папок, флаеров, открыток или визитных карточек."
"\nSmaller versions for postcards (with a small ledge) and for business cards:\n\n![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n\n![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n\nBookHolder with default parameters (A4 size, landscape, back_support):\n\n![BookHolder (back)](static/samples/BookHolder-back.jpg)\n","\nМеньшие версии для открыток (с небольшой полочкой) и для визитных карточек:\n\n![BookHolder minis (front)](static/samples/BookHolder-minis.jpg)\n\n![BookHolder minis (side)](static/samples/BookHolder-minis-side.jpg)\n\nBookHolder с параметрами по умолчанию (размер A4, альбомная ориентация, задняя поддержка):\n\n![BookHolder (back)](static/samples/BookHolder-back.jpg)\n"
BookHolder Settings,Настройки держателя книг
book_width,ширина книги
total width of book stand,общая ширина подставки для книг
book_height,высота книги
height of the front plate,высота передней пластины
book_depth,глубина книги
larger sizes for books with more pages,большие размеры для книг с большим количеством страниц
ledge_height,высота полочки
